provincia,Distrito,tons-of-food,people-food,nfi-shelter
Cidade da Beira,15,190.6,81796,18063
Buzi,24,354.4,120988,8030
Chibabava,1,,1250,
Cidade De Tete,8,27.9,7415,
Dondo,16,432.9,148465,2275
Gondola ,8,341.1,40675,375
Gorongosa,3,1.1,4275,125
Lugela,2,12.3,1520,
Macate,4,54.4,8405,
Maganja da Costa,3,35.5,4380,
Maringue,1,0.8,390,
Mocuba,,,,3000
Molumbo,4,23.5,3235,
Morrumbala,4,38.8,5044,2500
Muanza,2,2,857,
Mussorize,1,9.4,1135,
Namacura,3,42,5186,
Nhamatanda,11,254,111740,7307
Nicoadala,3,35.2,7044,
Sussundenga,6,510,67857,16490
Tica,,,,4500
