sector,province,district,org_no
Abrigo/ Artigos não alimentares,Sofala,Cidade Da Beira,84
Abrigo/ Artigos não alimentares,Sofala,Nhamatanda,68
Abrigo/ Artigos não alimentares,Sofala,Buzi,30
Abrigo/ Artigos não alimentares,Sofala,Dondo,19
Abrigo/ Artigos não alimentares,Manica,Sussundenga,30
Abrigo/ Artigos não alimentares,Manica,n/a,61
Abrigo/ Artigos não alimentares,Manica,Gondola,2
Abrigo/ Artigos não alimentares,Sofala,Gorongosa,1
Abrigo/ Artigos não alimentares,Zambezia,Mocuba,2
Abrigo/ Artigos não alimentares,Zambezia,Morrumbala,2
