partner,sector,province,district,org_no
"COSACA, CVM, DFID, ESMABAMA, IFRC, IOM, RUBICON, SOLIDARITES INTERNATIONAL",Abrigo/ Artigos não alimentares,Sofala,Buzi,8
"AICS, COSACA, CVM, DFID, HELP AGE, IFRC, INGC, IOM, ITC, LOG CLUSTER, MEDICOS DEL MUNDO, MOH, OFDA, SAMARITANS PURSE, SAMARITAN'S PURSE, SWISS,TERRA NOVA, UNICEF, WORLD CENTRAL KITCHEN, WORLD JEWISH RELIEF",Abrigo/ Artigos não alimentares,Sofala,Cidade Da Beira,20
"COSACA, CVM, DFID, IFRC, IOM, MEDICOS DEL MUNDO, SAMARITAN'S PURSE",Abrigo/ Artigos não alimentares,Sofala,Dondo,7
"CVM, ICRC",Abrigo/ Artigos não alimentares,Manica,Gondola,2
SAMARITAN'S PURSE,Abrigo/ Artigos não alimentares,Sofala,Gorongosa,1
WORLD VISION,Abrigo/ Artigos não alimentares,Zambezia,Mocuba,1
WORLD VISION,Abrigo/ Artigos não alimentares,Zambezia,Morrumbala,1
"COSACA, CVM, DFID, ICRC, INGC, IOM, MOH, SAMARITAN'S PURSE, SOS ATTITUDE",Abrigo/ Artigos não alimentares,Sofala,n/a,13
"CARITAS MOZAMBIQUE, CESVI, DFID, INTERAGENY TASK TEAM, IOM, ITC, MEDAIR, MISSION EDUCATE, OFDA, SAMARITAN'S PURSE, WORLD JEWISH RELIEF, WORLD VISION",Abrigo/ Artigos não alimentares,Sofala,Nhamatanda,12
"COSACA, DFID, INGC, IOM, OFDA, RUBICON, SOS",Abrigo/ Artigos não alimentares,Manica,Sussundenga,7
