sector,province,district,org_no
"Água, Saneamento e Higiene",Sofala,Cidade Da Beira,346
"Água, Saneamento e Higiene",Sofala,Buzi,55
"Água, Saneamento e Higiene",Sofala,Nhamatanda,94
"Água, Saneamento e Higiene",Sofala,Chibabava,1
"Água, Saneamento e Higiene",Sofala,Dondo,87
"Água, Saneamento e Higiene",Manica,Sussundenga,36
"Água, Saneamento e Higiene",Zambezia,Mocuba,10
"Água, Saneamento e Higiene",Zambezia,Morrumbala,3
"Água, Saneamento e Higiene",Manica,Gondola,16
"Água, Saneamento e Higiene",Manica,Cidade De Chimoio,2
"Água, Saneamento e Higiene",Zambezia,Nicoadala,8
"Água, Saneamento e Higiene",Zambezia,Namacurra,6
"Água, Saneamento e Higiene",Zambezia,Maganja Da Costa,13
"Água, Saneamento e Higiene",Zambezia,Chinde,8
"Água, Saneamento e Higiene",Zambezia,Luabo,8
"Água, Saneamento e Higiene",Zambezia,Alto Molocue,2
"Água, Saneamento e Higiene",Zambezia,Gurue,2
"Água, Saneamento e Higiene",Sofala,n/a,8
"Água, Saneamento e Higiene",Sofala,Gorongosa,1
"Água, Saneamento e Higiene",Zambezia,Derre,1
