partner,sector,province,district,org_no
"DPOPHRH-Z, UNICEF","Água, Saneamento e Higiene",Zambezia,Alto Molocue,2
"ACTALLIANCE, CARE INTERNATIONAL, CEDES, CHEMO - WORLD VISION, COMU SANAS, COSACA, DPOPHRH-S, HILFESWERK, ISAAC, ISRAAID, MENTOR INITIATIVE, MISAU, MOH, MSF, OXFAM, PNMC, SAMARITAN'S PURSE, SDC, SOLIDAR SUISSE, SOLIDARITÉS INTERNATIONAL, UNICEF","Água, Saneamento e Higiene",Sofala,Buzi,21
CARE INTERNATIONAL,"Água, Saneamento e Higiene",Sofala,Chibabava,1
"KUKUMBI, UNICEF, DPOPHRH-Z","Água, Saneamento e Higiene",Zambezia,Chinde,3
"ACF, AQUASSISTANCE, ARBEITER SAMARITER BUND (ASB), ASB, CHEMO - FOOD FOR THE HUNGRY, CHEMO - WORLD VISION, COMU SANAS, COSACA, CVM, DANISH EMERGENCY MANAGEMENT AGENCY, DEMA-DENMARK, DPOPHRH-S, EUROPEAN UNION CIVIL PROTECTION, FIPAG, HILFESWERK, IFRC, MENTOR INITIATIVE, MISAU, MOH, MSF, OXFAM, PNMC, PSI, SAMARITAN'S PURSE, THW - GERMANY, UNICEF, VEOLIA","Água, Saneamento e Higiene",Sofala,Cidade Da Beira,27
"DORCAS, UNICEF","Água, Saneamento e Higiene",Manica,Cidade De Chimoio,2
UNICEF,"Água, Saneamento e Higiene",Zambezia,Derre,1
"CARE INTERNATIONAL, CHEMO - FOOD FOR THE HUNGRY, COSACA, DPOPHRH-S, FOOD FOR THE HUNGRY, GOAL, GOOD NEIGHBORS INTERNATIONAL, ISRAAID, KFHI, MALTESER INTERNATIONAL, MENTOR INITIATIVE, MISAU, MISSAO COREIA, MOH, OXFAM, PNMC, SOLIDARITÉS INTERNATIONAL, UNICEF, WATER MISSION","Água, Saneamento e Higiene",Sofala,Dondo,19
"DORCAS, DPOPHRH-M, UNICEF","Água, Saneamento e Higiene",Manica,Gondola,3
HELPCODE,"Água, Saneamento e Higiene",Sofala,Gorongosa,1
"DPOPHRH-Z, UNICEF","Água, Saneamento e Higiene",Zambezia,Gurue,2
"DPOPHRH-Z, KUKUMBI, UNICEF","Água, Saneamento e Higiene",Zambezia,Luabo,3
"DPOPHRH-Z, KUKUMBI, SDPI, UNICEF","Água, Saneamento e Higiene",Zambezia,Maganja Da Costa,4
"CHEMO - WORLD VISION, DPOPHRH-Z, MOTAENGIL, SDPI, UNICEF","Água, Saneamento e Higiene",Zambezia,Mocuba,5
CHEMO - WORLD VISION,"Água, Saneamento e Higiene",Zambezia,Morrumbala,1
"GOOD NEIGHBORS INTERNATIONAL, WATERAID-KUKUMBI","Água, Saneamento e Higiene",Sofala,n/a,2
"DPOPHRH-Z, GOV. DISTRITO NAMACURRA, SDPI NAMACURRA, UNICEF","Água, Saneamento e Higiene",Zambezia,Namacurra,4
"ACTALLIANCE, CARE INTERNATIONAL, CEDES, CHEMO - FOOD FOR THE HUNGRY, CHEMO - WORLD VISION, COSACA, DORCAS, DPOPHRH-M, DPOPHRH-S, GOOD NEIGHBORS INTERNATIONAL, HELPCODE, JAM, KFHI, MEDAIR, MENTOR INITIATIVE, MISAU, MISSAO COREIA, MOH, OXFAM, PNMC, SOLIDARITÉS INTERNATIONAL, UNICEF","Água, Saneamento e Higiene",Sofala,Nhamatanda,22
"DPOPHRH-Z, UNICEF","Água, Saneamento e Higiene",Zambezia,Nicoadala,2
"CHEMO - WORLD VISION, DPOPHRH-M, SDC, SOLIDAR SUISSE, UNICEF, UNITED PURPOSE","Água, Saneamento e Higiene",Manica,Sussundenga,6
