sector,province,district,org_no
Nutrição,Zambezia,Alto Molocue,2
Nutrição,Tete,Angonia,2
Nutrição,Manica,Barue,2
Nutrição,Sofala,Buzi,6
Nutrição,Tete,Cahora Bassa,2
Nutrição,Sofala,Caia,6
Nutrição,Tete,Changara,4
Nutrição,Sofala,Chemba,6
Nutrição,Sofala,Cheringoma,6
Nutrição,Sofala,Chibabava,6
Nutrição,Tete,Chifunde,2
Nutrição,Zambezia,Chinde,2
Nutrição,Tete,Chiuta,2
Nutrição,Sofala,Cidade Da Beira,9
Nutrição,Zambezia,Cidade De Quelimane,2
Nutrição,Tete,Cidade De Tete,2
Nutrição,Sofala,Dondo,6
Nutrição,Zambezia,Gile,2
Nutrição,Manica,Gondola,2
Nutrição,Sofala,Gorongosa,6
Nutrição,Manica,Guro,2
Nutrição,Zambezia,Gurue,2
Nutrição,Zambezia,Ile,2
Nutrição,Zambezia,Inhassunge,2
Nutrição,Zambezia,Lugela,2
Nutrição,Tete,Macanga,2
Nutrição,Sofala,Machanga,6
Nutrição,Manica,Machaze,2
Nutrição,Manica,Macossa,2
Nutrição,Zambezia,Maganja Da Costa,2
Nutrição,Tete,Magoe,2
Nutrição,Manica,Manica,2
Nutrição,Tete,Maravia,4
Nutrição,Sofala,Maringue,6
Nutrição,Sofala,Marromeu,6
Nutrição,Zambezia,Milange,2
Nutrição,Tete,Moatize,2
Nutrição,Zambezia,Mocuba,2
Nutrição,Zambezia,Mopeia,2
Nutrição,Zambezia,Morrumbala,4
Nutrição,Manica,Mossurize,2
Nutrição,Sofala,Muanza,6
Nutrição,Tete,Mutarara,2
Nutrição,Sofala,n/a,32
Nutrição,Zambezia,Namacurra,2
Nutrição,Zambezia,Namarroi,2
Nutrição,Sofala,Nhamatanda,6
Nutrição,Zambezia,Nicoadala,2
Nutrição,Zambezia,Pebane,2
Nutrição,Tete,Tsangano,2
Nutrição,Tete,Zumbu,2
