partner,sector,province,district,org_no
"MISAU, UNICEF",Nutrição,Zambezia,Alto Molocue,2
"MISAU, UNICEF",Nutrição,Tete,Angonia,2
"MISAU, UNICEF",Nutrição,Manica,Barue,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Buzi,5
"MISAU, UNICEF",Nutrição,Tete,Cahora Bassa,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Caia,5
"MISAU, UNICEF, USAID, WFP",Nutrição,Tete,Changara,4
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Chemba,5
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Cheringoma,5
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Chibabava,5
"MISAU, UNICEF",Nutrição,Tete,Chifunde,2
"MISAU, UNICEF",Nutrição,Zambezia,Chinde,2
"MISAU, UNICEF",Nutrição,Tete,Chiuta,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF, USAID",Nutrição,Sofala,Cidade Da Beira,8
"MISAU, UNICEF",Nutrição,Zambezia,Cidade De Quelimane,2
"MISAU, UNICEF",Nutrição,Tete,Cidade De Tete,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Dondo,5
"MISAU, UNICEF",Nutrição,Zambezia,Gile,2
"MISAU, UNICEF",Nutrição,Manica,Gondola,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Gorongosa,5
"MISAU, UNICEF",Nutrição,Manica,Guro,2
"MISAU, UNICEF",Nutrição,Zambezia,Gurue,2
"MISAU, UNICEF",Nutrição,Zambezia,Ile,2
"MISAU, UNICEF",Nutrição,Zambezia,Inhassunge,2
"MISAU, UNICEF",Nutrição,Zambezia,Lugela,2
"MISAU, UNICEF",Nutrição,Tete,Macanga,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Machanga,5
"MISAU, UNICEF",Nutrição,Manica,Machaze,2
"MISAU, UNICEF",Nutrição,Manica,Macossa,2
"MISAU, UNICEF",Nutrição,Zambezia,Maganja Da Costa,2
"MISAU, UNICEF",Nutrição,Tete,Magoe,2
"MISAU, UNICEF",Nutrição,Manica,Manica,2
"MISAU, UNICEF",Nutrição,Tete,Maravia,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Maringue,5
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Marromeu,5
"MISAU, UNICEF",Nutrição,Zambezia,Milange,2
"MISAU, UNICEF",Nutrição,Tete,Moatize,2
"MISAU, UNICEF",Nutrição,Zambezia,Mocuba,2
"MISAU, UNICEF",Nutrição,Zambezia,Mopeia,2
"MISAU, UNICEF",Nutrição,Zambezia,Morrumbala,2
"MISAU, UNICEF",Nutrição,Manica,Mossurize,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Muanza,5
"MISAU, UNICEF",Nutrição,Tete,Mutarara,2
"DIGITAL GLOBE, JHPIEGO, MCSP, MISAU, UNICEF, USAID, WFP",Nutrição,Sofala,n/a,17
"MISAU, UNICEF",Nutrição,Zambezia,Namacurra,2
"MISAU, UNICEF",Nutrição,Zambezia,Namarroi,2
"CHAI (CLINTON HEALTH ACCESS INITIATIVE, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Nutrição,Sofala,Nhamatanda,5
"MISAU, UNICEF",Nutrição,Zambezia,Nicoadala,2
"MISAU, UNICEF",Nutrição,Zambezia,Pebane,2
"MISAU, UNICEF",Nutrição,Tete,Tsangano,2
"MISAU, UNICEF",Nutrição,Tete,Zumbu,2
