sector,province,district,org_no
Proteção,Sofala,Cidade Da Beira,92
Proteção,Sofala,Buzi,32
Proteção,Sofala,Dondo,15
Proteção,Sofala,Gorongosa,4
Proteção,Sofala,Machanga,3
Proteção,Sofala,Muanza,3
Proteção,Sofala,Nhamatanda,19
Proteção,Sofala,Chemba,5
Proteção,Sofala,Cheringoma,4
Proteção,Sofala,Chibabava,4
Proteção,Sofala,Maringue,3
Proteção,Sofala,Marromeu,3
Proteção,Sofala,Caia,3
Proteção,Manica,Sussundenga,4
Proteção,Zambezia,Cidade De Quelimane,3
Proteção,Tete,Cidade De Tete,2
Proteção,Manica,Cidade De Chimoio,1
Proteção,Manica,Gondola,1
Proteção,Zambezia,Mocuba,1
Proteção,Zambezia,Mopeia,1
Proteção,Zambezia,Morrumbala,1
