sector,province,district,org_no
Saúde,Zambezia,Alto Molocue,3
Saúde,Tete,Angonia,3
Saúde,Manica,Barue,7
Saúde,Sofala,Buzi,74
Saúde,Tete,Cahora Bassa,5
Saúde,Sofala,Caia,12
Saúde,Tete,Changara,5
Saúde,Sofala,Chemba,8
Saúde,Sofala,Cheringoma,3
Saúde,Sofala,Chibabava,15
Saúde,Tete,Chifunde,3
Saúde,Zambezia,Chinde,3
Saúde,Tete,Chiuta,3
Saúde,Sofala,Cidade Da Beira,114
Saúde,Manica,Cidade De Chimoio,2
Saúde,Zambezia,Cidade De Quelimane,10
Saúde,Tete,Cidade De Tete,10
Saúde,Gaza,Cidade De Xai-Xai,2
Saúde,Sofala,Dondo,42
Saúde,Manica,Dondo,2
Saúde,Zambezia,Gile,3
Saúde,Manica,Gondola,7
Saúde,Sofala,Gorongosa,11
Saúde,Inhambane,Govuro,4
Saúde,Manica,Guro,3
Saúde,Zambezia,Gurue,3
Saúde,Inhambane,Homoine,2
Saúde,Zambezia,Ile,3
Saúde,Inhambane,Inharrime,2
Saúde,Inhambane,Inhassoro,2
Saúde,Zambezia,Inhassunge,3
Saúde,Zambezia,Lugela,3
Saúde,Tete,Macanga,3
Saúde,Sofala,Machanga,7
Saúde,Manica,Machaze,5
Saúde,Manica,Macossa,5
Saúde,Zambezia,Maganja Da Costa,3
Saúde,Tete,Magoe,3
Saúde,Manica,Manica,5
Saúde,Tete,Maravia,6
Saúde,Sofala,Maringue,9
Saúde,Sofala,Marromeu,7
Saúde,Inhambane,Massinga,2
Saúde,Inhambane,Maxixe,2
Saúde,Zambezia,Milange,3
Saúde,Tete,Moatize,7
Saúde,Zambezia,Mocuba,4
Saúde,Zambezia,Mopeia,3
Saúde,Zambezia,Morrumbala,7
Saúde,Inhambane,Morrumbene,2
Saúde,Manica,Mossurize,9
Saúde,Sofala,Muanza,18
Saúde,Tete,Mutarara,6
Saúde,Maputo City,n/a,190
Saúde,Zambezia,Namacurra,3
Saúde,Zambezia,Namarroi,3
Saúde,Maputo,Nhamatanda,87
Saúde,Zambezia,Nicoadala,3
Saúde,Zambezia,Pebane,3
Saúde,Manica,Sussundenga,17
Saúde,Manica,Tambara,6
Saúde,Tete,Tsangano,3
Saúde,Inhambane,Vilankulo,2
Saúde,Inhambane,Zavala,2
Saúde,Tete,Zumbu,3
