partner,sector,province,district,org_no
WORLD VISION,Segurança Alimentar,Tete,Angonia,1
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Manica,Barue,2
"CARE, CARITAS, COSACA, ESMABAMA, HILFSWERK, INDIAN ARMY, SAVE THE CHILDREN, SOLIDAR SUISSE, WFP, WORLD VISION",Segurança Alimentar,Sofala,Buzi,10
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Tete,Cahora Bassa,2
"CARITAS, COSACA",Segurança Alimentar,Sofala,Caia,2
"COSACA, SAVE THE CHILDREN, WORLD VISION",Segurança Alimentar,Tete,Changara,3
COSACA,Segurança Alimentar,Sofala,Chemba,1
"COSACA, GP",Segurança Alimentar,Sofala,Cheringoma,2
"CARITAS, COSACA, ESMABAMA, WORLD VISION",Segurança Alimentar,Sofala,Chibabava,3
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Tete,Chifunde,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Chinde,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Tete,Chiuta,2
"APFM, CARE, CARE FOR LIFE, CARITAS, COSACA, HILFSWERK, SAVE THE CHILDREN, WFP, WORLD KITCHEN, YOUNG AFRICA",Segurança Alimentar,Sofala,Cidade Da Beira,10
"COSACA, SAVE THE CHILDREN, WORLD VISION, WFP, WORLD VISION",Segurança Alimentar,Zambezia,Cidade De Quelimane,5
"COSACA, SAVE THE CHILDREN, WORLD VISION",Segurança Alimentar,Zambezia,Derre,3
"APFM, CARE, CARE FOR LIFE, CARITAS, CEFA, COSACA, FH, GP, OIKOS, SALVATION ARMY MOZAMBIQUE, SAVE THE CHILDREN, WFP, YOUNG AFRICA",Segurança Alimentar,Sofala,Dondo,13
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Gile,2
WFP,Segurança Alimentar,Manica,Gondola,1
"COSACA, GP, WFP",Segurança Alimentar,Sofala,Gorongosa,3
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Manica,Guro,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Gurue,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Ile,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Inhassunge,2
"COSACA, SAVE THE CHILDREN, WFP, WORLD VISION",Segurança Alimentar,Zambezia,Lugela,4
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Tete,Macanga,2
VSO,Segurança Alimentar,Manica,Macate,1
"CARITAS, COSACA, ESMABAMA",Segurança Alimentar,Sofala,Machanga,3
"COSACA, SAVE THE CHILDREN, WORLD VISION",Segurança Alimentar,Manica,Machaze,3
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Manica,Macossa,2
"WFP, WORLD VISION",Segurança Alimentar,Zambezia,Maganja Da Costa,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Tete,Magoe,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Manica,Manica,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Maquival,1
"COSACA, GP, WFP",Segurança Alimentar,Sofala,Maringue,3
COSACA,Segurança Alimentar,Sofala,Marromeu,1
"COSACA, SAVE THE CHILDREN, WFP",Segurança Alimentar,Zambezia,Milange,3
ADRA,Segurança Alimentar,Tete,Moatize,1
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Mocuba,2
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Mopeia,2
"COSACA, SAVE THE CHILDREN, WORLD VISION, WFP",Segurança Alimentar,Zambezia,Morrumbala,4
"COSACA, SAVE THE CHILDREN, RED CROSS, WFP",Segurança Alimentar,Manica,Mossurize,4
"COSACA, GP, WFP",Segurança Alimentar,Sofala,Muanza,3
"COSACA, SAVE THE CHILDREN, WORLD VISION",Segurança Alimentar,Tete,Mutarara,3
CARITAS,Segurança Alimentar,Manica,n/a,1
"COSACA, SAVE THE CHILDREN, WFP",Segurança Alimentar,Zambezia,Namacurra,3
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Namarroi,2
"ADRA, ALLIANCE2015, CARE, CEFA, CESVI, CONCERN, COSACA, FH, GP, HILFSWERK, OIKOS, PARQUE NACIONAL DA GORONGOSA, SAVE THE CHILDREN, WFP, WHH, WORLD VISION",Segurança Alimentar,Sofala,Nhamatanda,16
"CARITAS, COSACA, SAVE THE CHILDREN, WFP",Segurança Alimentar,Zambezia,Nicoadala,4
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Zambezia,Pebane,2
"CARITAS, RED CROSS, SOLIDAR SUISSE, VSO, WFP, WORLD VISION",Segurança Alimentar,Manica,Sussundenga,6
"COSACA, SAVE THE CHILDREN",Segurança Alimentar,Tete,Zumbu,2
