adm2_code,org_total,adm2_name,Latitude,Longitude
MZ011402,3,Alto Molocue,-15.63210338,37.67203467
MZ010502,6,Angonia,-14.67451519,34.1640207
MZ004602,8,Barue,-17.99851986,33.22176038
MZ009702,51,Buzi,-20.03673993,34.36356744
MZ010503,8,Cahora Bassa,-15.90204952,32.49681132
MZ009703,16,Caia,-17.79187715,35.01495494
MZ010504,10,Changara,-16.53508564,32.99426959
MZ009704,14,Chemba,-17.2357586,34.64223963
MZ009705,13,Cheringoma,-18.54107439,35.22304746
MZ009706,16,Chibabava,-20.31425075,33.81749064
MZ010505,7,Chifunde,-14.59238126,32.84146002
MZ011403,5,Chinde,-22.91849714,33.22067032
MZ010506,9,Chiuta,-15.46007946,33.45779265
MZ004601,7,Cidade De Chimoio,-19.12918201,33.45116655
MZ003810,2,Cidade de Maxixe,-23.88166582,35.30942269
MZ011401,11,Cidade De Quelimane,-17.81906507,37.02214227
MZ010501,12,Cidade de Tete,-16.14754218,33.50096414
MZ009701,99,Cidade da Beira,-19.69382573,34.9387756
MZ1007,2,Doa,-16.59777003,34.51760213
MZ009707,55,Dondo,-19.47779742,34.81630475
MZ011404,5,Gile,-15.94963057,38.32045317
MZ004603,10,Gondola,-19.15077949,33.79221741
MZ009807,15,Gorongosa,-18.57241353,34.26129157
MZ003803,3,Govuro,-21.34345948,34.62745312
MZ004604,5,Guro,-16.96296812,33.54982174
MZ011405,5,Gurue,-15.35778704,37.00874175
MZ003804,2,Homoine,-23.86681458,35.03028731
MZ011406,5,Ile,-16.01634055,37.32982977
MZ003805,2,Inharrime,-24.39872203,34.86506953
MZ003806,2,Inhassoro,-21.75736419,34.81157399
MZ011407,5,Inhassunge,-17.99551936,36.76949823
MZ006103,1,Kamaxakeni,-25.93841189,32.59929945
MZ011408,7,Lugela,-16.30908755,36.65934437
MZ010507,5,Macanga,-14.83620188,33.53411736
MZ009709,14,Machanga,-20.89184191,34.43721913
MZ004605,8,Machaze,-21.05012226,33.26587433
MZ004606,7,Macossa,-17.9115653,33.78174804
MZ011409,9,Maganja da Costa,-17.31641342,37.38257847
MZ010508,5,Magoe,-15.92088011,31.39301483
MZ004607,7,Manica,-18.81290095,33.01687378
MZ010509,3,Maravia,-15.09319997,32.0654126
MZ009710,13,Maringue,-17.78720834,34.4536787
MZ009711,12,Marromeu,-18.42265978,35.73953849
MZ003809,2,Massinga,-22.84585795,35.02601861
MZ011410,6,Milange,-16.28659572,35.83702149
MZ010510,7,Moatize,-15.96063711,33.9952017
MZ011411,9,Mocuba,-16.84356785,36.84914227
MZ011412,6,Mopeia,-17.83332902,36.05324817
MZ011413,9,Morrumbala,-17.0393282,35.58237684
MZ003811,2,Morrumbene,-23.44963154,35.09102666
MZ004608,11,Mossurize,-20.55956791,32.91859328
MZ009712,13,Muanza,-19.0906312,35.05546891
MZ010511,11,Mutarara,-17.22551483,35.11065449
MZ011414,7,Namacurra,-17.48178398,37.08949207
MZ011415,5,Namarroi,-15.87569664,36.82415674
MZ009713,70,Nhamatanda,-19.34920147,34.23079658
MZ011416,8,Nicoadala,-17.53234946,36.67946755
MZ011417,5,Pebane,-16.7315828,38.54478772
MZ004609,23,Sussundenga,-19.66871457,33.25693338
MZ004610,3,Tambara,-16.97837891,34.11150234
MZ010512,3,Tsangano,-15.11608184,34.3431817
MZ003813,2,Vilankulo,-22.28475204,35.08855739
MZ002912,2,Xai-Xai,-25.0154733,33.60430699
MZ003814,2,Zavala,-24.61727732,34.60709996
MZ010513,5,Zumbu,-15.2314946,30.93300301
