SURVEY_DATE,SSID,SITE_NAME,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,ADM3_NAME,latitude,longitude,COORDINATE_ACCURACY,SITE_CLASSIFICATION,SITE_TYPE,SITE_MNGMT,SITE_CMTE,ACCESSIBLE,SECURE,ORIGIN_ADM1,ORIGIN_ADM1_CODE,ORIGIN_ADM2,ORIGIN_ADM2_CODE,ORIGIN_ADM3,RETURN_Y_N,PREVENT_RETURN,PERIOD_DISPLACEMENT,IDP_HH,IDP_IND,NEED1,NEED2,NEED3
2019-03-27,MOZ_S001,E. Secundaria Mutembe,Sofala,MZ009,Cidade Da Beira,MZ009701,,-19.8345,34.8503,,Spontaneous,School,Yes,No,Limited access (by foot only or only small means of transportation),Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Beira  city,Yes,House damaged/destroyed,Between 1 and 2 weeks,120,612,Net,Food,Blanket
2019-03-27,MOZ_S002,E. S. Matadouro,Sofala,MZ009,Cidade Da Beira,MZ009701,Inhamizua,-19.74444444,34.85694444,,Planned,School,Unknown,Yes,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Inhamizua,Yes,House damaged/destroyed,Between 1 and 2 weeks,594,2512,Food,Shelter/NFI,Material  construction
2019-03-27,MOZ_S003,E. S. AZEM,Sofala,MZ009,Cidade Da Beira,MZ009701,Nhaconjo,-19.75888889,34.86305556,,Spontaneous,School,Yes,No,Yes,"Limited/Intermittently (constraints such as criminality, road-blocks, or armed conflict)",Sofala,MZ009,Cidade Da Beira,MZ009701,Nhaconjo,Yes,House damaged/destroyed,Between 1 and 2 weeks,5,22,House,Medical assitance,Food
2019-03-27,MOZ_S004,E. S. Estoril,Sofala,MZ009,Cidade Da Beira,MZ009701,Estoril,-19.84,34.89527778,,Spontaneous,School,Yes,No,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Estoril,No,House damaged/destroyed,Less than 1 week,30,125,Leave the temporary shelter,Construction  Material,Food
2019-03-27,MOZ_S005,E. S. 25 Setembro,Sofala,MZ009,Cidade Da Beira,MZ009701,Chomba,-19.73666667,34.82805556,,Planned,School,No,No,Yes,Do not know/No answer,Sofala,MZ009,Cidade Da Beira,MZ009701,Chomba,Yes,House damaged/destroyed,Between 1 and 2 weeks,42,244,Tent,Water,Blankets
2019-03-27,MOZ_S006,E. Ind.  25 de Junho,Sofala,MZ009,Cidade Da Beira,MZ009701,Muchatazina,-19.82888889,34.8575,,Spontaneous,School,Yes,Yes,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Estoril,Yes,House damaged/destroyed,More than 3 months,101,515,Food,Shelter/NFI,Water
2019-03-27,MOZ_S007,EPC Macurongo,Sofala,MZ009,Cidade Da Beira,MZ009701,Macurungo,-19.83638889,34.88,,Spontaneous,School,Yes,Unknown,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Marucungo,Yes,House damaged/destroyed,Less than 1 week,68,280,Leave the temporary shelter,Construction material,Food
2019-03-27,MOZ_S008,EPC Ndunda,Sofala,MZ009,Cidade Da Beira,MZ009701,Manga loforte,-19.78052,34.88228,,Planned,School,Yes,Yes,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Manga loforte,Yes,House damaged/destroyed,Less than 1 week,366,555,Hygiene kits,Kitchen kits,Tents
2019-03-27,MOZ_S009,EP Mungassa,Sofala,MZ009,Cidade Da Beira,MZ009701,Nhamizua,-19.75027778,34.86,,Spontaneous,School,Yes,No,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Nhamizua,Yes,House damaged/destroyed,Between 2 and 1 month,7,38,Plot,Food,Shelter material
2019-03-27,MOZ_S010,Muaby 2,Sofala,MZ009,Cidade Da Beira,MZ009701,Manga Loforte,-19.80611111,34.92222222,,Planned,School,Unknown,Unknown,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Manga Loforte,Yes,House damaged/destroyed,Between 1 and 2 weeks,341,582,Food,Health support,Security
2019-03-27,MOZ_S011,E.p.c. Eduardo Mondlane,Sofala,MZ009,Cidade Da Beira,MZ009701,PuntaGea,-19.842568,34.848054,Approximate,Spontaneous,School,Yes,No,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Pontagea,Yes,Accessibility,Between 1 and 3 months,290,1144,Food,Shelter,Drinking  water
2019-03-27,MOZ_S012,Posto de Nduda,Sofala,MZ009,Cidade Da Beira,MZ009701,Nduda  1,-19.79805556,34.95027778,,Planned,Community Center,No Answer,No Answer,Yes,Yes,Sofala,MZ009,Cidade Da Beira,MZ009701,Nduda 1,Yes,Lack of food,Between 1 and 2 weeks,230,1173,Food,Shelter/NFI,Tents
