survey_date,survey_round,enum_name,enum_sex,site_id,site_name,provincia,distrito,posto,localizacao,longitude,latitude,site_class,site_type,type_other,open_date,site_mang,site_com,accessible,safe_secure,original_region,original_distrito,origin_trad_area,original_localizacao,return,prevent_return,period_displaced,familias,idps,vulnerables,need1,need2,need3,sleep_outdoors,sleep_emergency_shelter,sleep_permanent_shelter,nfi_needs_1,nfi_needs_2,nfi_needs_3,nfi_needs_4,nfi_needs_5,nfi_needs_6,nfi_needs_7,nfi_needs_8,nfi_needs_9,nfi_needs_all,reason_NFI_needs,other_reasons_NFI_needs,main_water_source,drinking_cooking_washing,enough_water_cook_pers_hyg,enough_water_drink,enough_water_shower,enough_soap,comm_fac_sanitation,area_od,area_garbage,less_3meals,go_market,needs_market,needs_market _reason,needs_market _reason_other,time_health_fac,prevent_healthcare,female_workers_healthcare,women_birth,women_birth_professional,prop_school_u5,prop_school_6_12,prop_school_13_17,lighting_community,separated_toilet,lock_toilet,lit_toilets,separate_baths,bathing_locks,eviction_threat,security,vul,wash,shelter,food,health,edu,prot,ret
2019-04-02,2,n/a,Female,MOZ_S035,Picoco,Sofala,Cidade da Beira,Cidade da Beira,Estoril,34.824,-19.733,Spontaneous,Other,Camp,2019-03-28,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Estoril,Yes,House damaged/destroyed,Between 2 and 1 month,704,3160,0,Latrines,Lighting,Disposal system in place,Do not know/No answer,Do not know/No answer,Do not know/No answer,0,Cooking stoves,Cooking items (pots/pans,0,0,Mosquito nets,0,0,0,"Cooking stoves, Cooking items (pots/pans, Mosquito nets, ",Other,No money,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Everyone (around 100%),About half (around 50%),Everyone (around 100%),Pit latrine with slab,Nobody (around 0%),About half (around 50%),Most (around 75%),Do not know/No answer,Do not know/No answer,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Do not know/No answer,At health facility,Yes,Most (around 75%),Most (around 75%),Most (around 75%),None (around 0%),About half (around 50%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Do not know/No answer,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-02,2,n/a,Female,MOZ_S038,IFAPA,Sofala,Cidade da Beira,Cidade da Beira,Manga aeroporto,34.903,-19.806,Spontaneous,School,N/A,2019-03-24,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga-aeroporto,No,House damaged/destroyed,Between 2 and 1 month,340,1708,0,Sanitation,Hygiene product,Cobertores,Nobody (around 0%),Most (around 75%),A few (around 25%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,Closed containers to transport and /or store water,0,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Closed containers to transport and /or store water, Soap/detergent for washing clothes",Other,No money,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),Do not know/No answer,Do not know/No answer,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Yes,Do not know/No answer,Yes,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),About half (around 50%),All (100%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Do not know/No answer,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Female,MOZ_S061,EPC 12 de Outubro,Sofala,Nhamatanda,Nhamatanda,N/A,34.217474,-19.177973,Spontaneous,School,N/A,2019-03-16,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Nhamatanda,N/A,No,House damaged/destroyed,More than 3 months,59,334,8,Shelter,Food,Agricultur Materials,Nobody (around 0%),A few (around 25%),About half (around 50%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Shoes and clothes, Soap/detergent for washing clothes",There is no market or access to market from the site,N/A,Tube well/Borehole,Surface water,Everyone (around 100%),Most (around 75%),Everyone (around 100%),Nobody (around 0%),Flush to piped sewer system,Nobody (around 0%),About half (around 50%),Nobody (around 0%),Walking,Yes,N/A,N/A,More than 30 minutes,Nothing is preventing people,No,At health facility,Yes,Nobody (around 0%),Everyone (around 100%),Everyone (around 100%),About half (around 50%),All (100%),None (around 0%),None (around 0%),About half (around 50%),All (100%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Female,MOZ_S065,Nhamatanda,Sofala,Nhamatanda,Tica,N/A,34.440582,-19.411204,Spontaneous,Community Center,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Tica,N/A,No,Lack of food,More than 3 months,870,1820,0,Food,Clothes,Health Care,Nobody (around 0%),Most (around 75%),Nobody (around 0%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,Closed containers to transport and /or store water,Shoes and clothes,0,"Items for sleeping (mats, blankets,..), Closed containers to transport and /or store water, Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Public tap/Standpipe,Most (around 75%),Most (around 75%),Everyone (around 100%),Nobody (around 0%),Pit latrine with slab,A few (around 25%),Everyone (around 100%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,There are no reachable health services,Only sometimes/Part of the time,At health facility,No,A few (around 25%),Most (around 75%),Most (around 75%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Yes,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S031,EPC 25 de Junho Munhava,Sofala,Cidade da Beira,Cidade da Beira,Munhava mananga,34.852625,-19.810117,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Munhava mananga,Yes,House damaged/destroyed,Between 1 and 2 weeks,58,284,11,Shelter,Food,Clothes,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Shoes and clothes, Soap/detergent for washing clothes","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Tube well/Borehole,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Flush to pit latrine,A few (around 25%),Nobody (around 0%),Everyone (around 100%),Walking,Yes,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),About half (around 50%),A few (around 25%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S020,EPC Muavi 1,Sofala,Cidade da Beira,Cidade da Beira,Manga loforde,34.93611111,-19.79805556,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,Yes,House damaged/destroyed,Between 1 and 3 months,268,760,0,Shelter,Food,Health care,Do not know/No answer,A few (around 25%),Do not know/No answer,0,0,Cooking items (pots/pans,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,0,"Cooking items (pots/pans, Items for sleeping (mats, blankets,..), Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tanker-Truck,Piped water to neighbor,Most (around 75%),Everyone (around 100%),Do not know/No answer,Nobody (around 0%),Pit latrine with slab,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),Walking,Yes,N/A,N/A,Do not know/No answer,No medicines available in healthcare center,Yes,At health facility,Yes,Do not know/No answer,A few (around 25%),Do not know/No answer,None (around 0%),About half (around 50%),None (around 0%),None (around 0%),Most (around 75%),None (around 0%),Yes,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Male,MOZ_S039,Terra Prometida,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,34.93658,-19.79813,Spontaneous,Community Center,N/A,2019-03-23,No,No,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,No,Basic infrastructures damaged/flooded,More than 3 months,30,176,30,Shelter,Security,School,Nobody (around 0%),Everyone (around 100%),Nobody (around 0%),0,0,Cooking items (pots/pans,0,0,0,Closed containers to transport and /or store water,Shoes and clothes,0,"Cooking items (pots/pans, Closed containers to transport and /or store water, Shoes and clothes, ",There is no market or access to market from the site,N/A,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Everyone (around 100%),No facility / bush / field (aggregate/adapt to the context as needed),Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Walking,Yes,N/A,N/A,More than 30 minutes,Health services are only accessible during part of the day or some day,Yes,At health facility,Yes,A few (around 25%),A few (around 25%),A few (around 25%),A few (around 25%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Yes,Do not know/No answer,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Male,MOZ_S054,Salao do reino das testemunhas de jeova,Sofala,Dondo,Mafambisse,N/A,34.598545,-19.501132,Spontaneous,Community Center,N/A,2019-03-16,No,No,Yes,Yes,Sofala,Dondo,Mafambisse,N/A,Yes,House damaged/destroyed,Between 1 and 2 weeks,98,332,0,Food,Health,Building materials,Nobody (around 0%),Most (around 75%),Nobody (around 0%),0,0,0,Hygiene products (for personal hygiene),0,0,Closed containers to transport and /or store water,0,Soap/detergent for washing clothes,"Hygiene products (for personal hygiene), Closed containers to transport and /or store water, Soap/detergent for washing clothes","There is access to the market, but these items are not sold on the market/rarely available",N/A,Rainwater,Public tap/Standpipe,Most (around 75%),Everyone (around 100%),Most (around 75%),A few (around 25%),Pit latrine without slab / open pit,Nobody (around 0%),A few (around 25%),Everyone (around 100%),Walking,Yes,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Do not know/No answer,Do not know/No answer,Do not know/No answer,Nobody (around 0%),Nobody (around 0%),Most (around 75%),A few (around 25%),None (around 0%),A few (around 25%),None (around 0%),None (around 0%),A few (around 25%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-06,2,n/a,Male,MOZ_S057,Escola primaria completa 12 de Outubro,Sofala,Nhamatanda,Nhamatanda,Sede nhamatanda,34.211142,-19.176622,Spontaneous,School,N/A,2019-03-15,No,No,Yes,Yes,Sofala,Nhamatanda,Nhamatanda,Sede Nhamatanda,No,House damaged/destroyed,Between 1 and 3 months,17,104,10,Food,Sanitation,habitation,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),0,0,Cooking items (pots/pans,Hygiene products (for personal hygiene),0,0,Closed containers to transport and /or store water,0,0,"Cooking items (pots/pans, Hygiene products (for personal hygiene), Closed containers to transport and /or store water, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tube well/Borehole,Surface water,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Flush to septic tank,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),Walking,Yes,N/A,N/A,Up to 30 minutes,Health services are only accessible during part of the day or some day,Yes,At health facility,Yes,About half (around 50%),Most (around 75%),Everyone (around 100%),None (around 0%),All (100%),All (100%),None (around 0%),All (100%),None (around 0%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-06,2,n/a,Male,MOZ_S064,Otcha_Otcha,Sofala,Nhamatanda,Tica,Nhamatanda,34.440496,-19.411268,Spontaneous,Community Center,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Tica,Nhamatanda,Yes,No livelihood,More than 3 months,786,2380,1016,Food,Shelter,household items,Nobody (around 0%),Most (around 75%),Nobody (around 0%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,0,0,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Mosquito nets, Soap/detergent for washing clothes","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Sachet water,Sachet water,Everyone (around 100%),Everyone (around 100%),Most (around 75%),Nobody (around 0%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,Cost/Money,Only sometimes/Part of the time,At health facility,No,Most (around 75%),Most (around 75%),A few (around 25%),None (around 0%),A few (around 25%),None (around 0%),None (around 0%),A few (around 25%),None (around 0%),Yes,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
