uniqueid,deviceid,date,starttime,endtime,lat,lon,altitude,precision,grid,photo,severity,estpop,pointofinterest
50966626,357083077029861,3/26/2019,2019-03-26T09:45:22.758+02,2019-03-26T10:06:40.637+02,-20.041095,34.73058,489.5,6.8,B5,1553587542005.jpg,Of concern,Less than 100,House(s)
51215401,357083077029945,3/27/2019,2019-03-27T10:27:01.734+02,2019-03-27T10:27:57.319+02,-19.5377833333333,34.63145,186.4,2.2,A1,NA,Of concern,"Between 1,001 and 5,000",House(s)
51215386,357083077029945,3/27/2019,2019-03-27T09:58:01.958+02,2019-03-27T10:00:20.786+02,-19.0959083333333,34.281255,196.1,2.1,B2,NA,No / Minor,None,None
51215389,357083077029945,3/27/2019,2019-03-27T10:04:12.728+02,2019-03-27T10:05:03.689+02,-19.022955,34.35902,133.4,2.2,A1,NA,No / Minor,None,None
51215381,357083077029945,3/27/2019,2019-03-27T09:50:07.578+02,2019-03-27T09:55:51.706+02,-19.1704566666667,34.2132383333333,214.1,4.8,A1,NA,Of concern,"Between 101 and 1,000",House(s)
50850959,357083077030356,3/25/2019,2019-03-25T10:16:12.719+02,2019-03-25T10:17:19.381+02,-19.9299383333333,33.83466,190.8,4.7,D2,1553501816054.jpg,Serious,None,Other type of infrastructure
50759781,357083077029861,3/24/2019,2019-03-24T15:26:32.963+02,2019-03-24T15:29:39.430+02,-19.6652716666667,34.7573966666667,152.5,2.1,E7,1553434141634.jpg,No / Minor,"More than 5,000",House(s)
50767099,357083079604919,3/24/2019,2019-03-24T16:17:52.549+02,2019-03-24T16:19:09.999+02,-19.547765,35.29874,95.2,4.9,F9,1553437089193.jpg,Serious,"Between 101 and 1,000",House(s)
50850753,357083077030356,3/25/2019,2019-03-25T10:15:38.314+02,2019-03-25T10:16:02.215+02,-19.9285716666667,33.8218383333333,194.4,5.2,D2,1553501752014.jpg,No / Minor,None,Bridge
50850670,357083077030356,3/25/2019,2019-03-25T10:15:01.708+02,2019-03-25T10:15:35.607+02,-19.91701,33.8147366666667,194.8,6.4,D2,1553501721466.jpg,Of concern,"Between 101 and 1,000",School
50850474,357083077030356,3/25/2019,2019-03-25T10:08:45.982+02,2019-03-25T10:14:57.970+02,-19.9424916666667,33.839225,315.7,4.9,D2,1553501673958.jpg,Of concern,"Between 101 and 1,000",House(s)
50850368,357083077030356,3/25/2019,2019-03-25T10:03:04.628+02,2019-03-25T10:08:29.143+02,-20.00001,33.9851883333333,324.2,4.8,D3,1553501296257.jpg,No / Minor,None,None
50850183,357083077030356,3/25/2019,2019-03-25T10:02:17.967+02,2019-03-25T10:02:58.756+02,-20.07389,34.1095966666667,367.8,5,D3,1553500965077.jpg,No / Minor,Less than 100,House(s)
50850064,357083077030356,3/25/2019,2019-03-25T09:56:56.118+02,2019-03-25T09:58:08.009+02,-19.9715833333333,34.14128,179.5,4.4,D3,1553500644590.jpg,Serious,"Between 1,001 and 5,000",School
50849780,357083077030356,3/25/2019,2019-03-25T09:55:39.880+02,2019-03-25T09:56:14.966+02,-19.97546,34.1485783333333,195.3,8.6,D3,1553500563188.jpg,Serious,"Between 101 and 1,000",House(s)
