epoca,periodo,provincia,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,area_afectada_ha,agricultores_afectados,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,accoes_em_curso,observacoes,checkpoint,_submission_time,_submitted_by,meta_instanceid,_id
2016-2017,,Maputo Cidade,KaMpfumo,MZ11,MZ1101,,Ventos fortes,0,TRUE,0,10/24/2016,2255,451,0,0,117,0,0,0,436,15,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Maputo Cidade,KaTembe,MZ11,MZ1102,,Ventos fortes,0,TRUE,0,11/12/2016,20,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Maputo Cidade,KaMaxakeni,MZ11,MZ1103,,Ventos fortes,0,TRUE,0,11/12/2016,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Maputo Cidade,KaMavota,MZ11,MZ1104,,Chuvas e ventos fortes,1,TRUE,0,11/12/2016,65,13,0,0,0,0,0,0,2,0,11,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Maputo,,MZ10,,,Ventos fortes,0,TRUE,0,10/24/2016,22460,4492,0,0,51,0,0,0,4018,474,0,65,155,31,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
2016-2017,,Maputo,Boane,MZ10,MZ1002,,Chuvas e ventos fortes,1,TRUE,0,12/9/2016,590,118,0,0,4,0,0,0,110,8,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Maputo,Cidade da Matola,MZ10,MZ1001,,Chuvas e ventos fortes,1,TRUE,0,12/9/2016,1380,276,0,0,1,0,0,0,272,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Gaza,Cidade de Xai-Xai,MZ09,MZ0901,,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,130,26,0,0,0,0,0,0,30,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Gaza,Xai-Xai,MZ09,MZ0912,,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,22220,7055,0,0,2,0,0,0,2939,6253,0,0,127,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2016-2017,,Gaza,Bilene,MZ09,MZ0902,,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,300,60,0,0,0,0,0,0,60,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
