epoca,periodo,provincia,distrito_old,distrito,provincia_pcode,distrito_pcode,avisos,ocorrencia_,chuvas,ventos_fortes,descarga_atmosferica,data,pessoas_afectadas_,familias__afectadas_,pessoas_indirectamente_afectadas,familias_indirectamente_afectadas,feridos,obitos,obitos2,grupos_vulneraveis,casas_parcialmente_dest,casas_totalmente_destr,casas_inundadas,escolas_afectadas,salas_de_aulas_parcialmente_destruidas,salas_de_aulas_totalmente_destruidas,alunos_afectados,prof_afectados,casas_de_culto,unidades_sanitarias,hospital_parcialmente_destruidas,hospital_totalmente_destruidas,centro_de_saude_parcialmente_destruidas,postes_de_energia,rede_de_pesca,embarcacoes,posto_de_transformacao,posto_policial,pensoes_para_hospedagem,sistema_de_abastecimento_de_agua,area_afectada_ha,familias_afectadas,accoes_em_curso,observacoes
2017-2018,Novembro,Zambezia,Alto Molocue,Alto Molocue,MZ09,MZ0402,n/a,Chuvas e ventos fortes,1,TRUE,0,11/9/2017,60,12,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a,n/a,n/a,7,n/a,n/a,n/a,1,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Novembro,Cabo_Delgado,Ancuabe,Ancuabe,MZ09,MZ0202,n/a,Chuvas e ventos fortes,1,TRUE,0,11/27/2017,215,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Ancuabe,Ancuabe,MZ09,MZ0202,n/a,Chuvas e ventos fortes,1,TRUE,0,1/19/2018,545,109,n/a,n/a,n/a,n/a,n/a,n/a,38,71,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Nampula,Angoche,Angoche,MZ09,MZ0302,n/a,Chuvas e ventos fortes,1,TRUE,0,1/18/2018,980,196,n/a,n/a,n/a,n/a,n/a,n/a,49,147,n/a,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Tete,Angonia,Angonia,MZ05,MZ0502,n/a,Depressao tropical,0,FALSE,0,3/6/2019,7295,1459,n/a,n/a,n/a,2,2,n/a,n/a,1459,n/a,18,51,n/a,5383,n/a,11,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,70,127,n/a,n/a
2016-2017,n/a,Cabo_Delgado,Balama,Balama,MZ02,MZ0203,n/a,Chuvas e ventos fortes,1,TRUE,0,3/1/2017,5,1,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Cabo_Delgado,Balama,Balama,MZ09,MZ0203,n/a,Chuvas e ventos fortes,1,TRUE,0,1/25/2018,1248,252,n/a,n/a,n/a,n/a,n/a,n/a,245,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2017-2018,Janeiro,Manica,Barue,Barue,MZ09,MZ0602,n/a,Ventos fortes,0,TRUE,0,1/3/2018,120,24,n/a,n/a,1,n/a,n/a,n/a,23,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2018-2019,Marco,Manica,Barue,Barue,n/a,n/a,n/a,Ciclone,n/a,n/a,n/a,3/15/2019,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16,10,38,2320,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2016-2017,n/a,Gaza,Bilene,Bilene,MZ09,MZ0902,n/a,Chuvas e ventos fortes,1,TRUE,0,10/24/2016,300,60,n/a,n/a,0,n/a,n/a,n/a,60,0,n/a,n/a,16,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
