province,district,accomodation_center,families,people,children_under_5,csb,rusf,heb,rice,beans,oil,total,start_date_of_distrib,end_date_of_distribution
Sofala,Cidade da Beira,Bairro Mungassa,120,600,n/a,5,n/a,n/a,n/a,n/a,n/a,5,18/03/2019,3/18/2019
Sofala,Cidade da Beira,E.P.C Agostinho Neto,90,231,n/a,2,n/a,n/a,n/a,n/a,n/a,2.3,18/03/2019,3/18/2019
Sofala,Cidade da Beira,E.Secundaria Muchatazine,17,20,n/a,0,n/a,n/a,n/a,n/a,n/a,0.2,18/03/2019,3/18/2019
Sofala,Cidade da Beira,EPC Palmeiras,59,295,n/a,3,n/a,n/a,n/a,n/a,n/a,2.95,18/03/2019,3/18/2019
Sofala,Cidade da Beira,Esc. Sansao Mutemba,30,59,n/a,1,n/a,n/a,n/a,n/a,n/a,0.6,18/03/2019,3/18/2019
Sofala,Cidade da Beira,Centro de Apoio a Velhice,50,250,n/a,3,n/a,n/a,n/a,n/a,n/a,2.5,19/03/2019,3/19/2019
Sofala,Cidade da Beira,EPC Josina Machel,100,500,n/a,5,n/a,n/a,n/a,n/a,n/a,5,19/03/2019,3/19/2019
Sofala,Cidade da Beira,EPC Mungassa,30,150,n/a,2,n/a,n/a,n/a,n/a,n/a,1.5,19/03/2019,3/19/2019
Sofala,Cidade da Beira,Escola Reis dos Reis,15,76,n/a,1,n/a,n/a,n/a,n/a,n/a,0.8,19/03/2019,3/19/2019
Sofala,Cidade da Beira,Posto de Ndunda,8,40,n/a,0,n/a,n/a,n/a,n/a,n/a,0.4,19/03/2019,3/19/2019
Sofala,Buzi,Sede do Distrito,n/a,n/a,2495,n/a,n/a,5,n/a,n/a,n/a,5.24,18/03/2019,3/19/2019
Sofala,Cidade da Beira,EPC Matacuane,69,342,n/a,1,n/a,n/a,n/a,n/a,n/a,0.7,20/03/2019,3/20/2019
Sofala,Cidade da Beira,Esc. Sec. Especial,85,425,79,1,n/a,n/a,n/a,n/a,n/a,0.85,20/03/2019,3/20/2019
Sofala,Dondo,Mafambisse - Munhonha,70,350,n/a,1,n/a,n/a,n/a,n/a,n/a,0.75,20/03/2019,3/20/2019
Sofala,Dondo,Municipio de Dondo,604,3019,n/a,30,n/a,n/a,n/a,n/a,n/a,30.19,20/03/2019,3/20/2019
Sofala,Dondo,Mussassa,113,565,n/a,1,n/a,n/a,n/a,n/a,n/a,1.13,20/03/2019,3/20/2019
Sofala,Dondo,Samora Machel,45,225,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20/03/2019,3/20/2019
Sofala,Cidade da Beira,E.P.C 24 de Junho,19,95,16,2,0,n/a,n/a,n/a,n/a,1.96,21/03/2019,3/21/2019
Sofala,Cidade da Beira,E.P.C Chota,69,345,56,3,0,n/a,n/a,n/a,n/a,3.56,20/03/2019,3/21/2019
Sofala,Cidade da Beira,E.S. Geral Estoril,60,300,49,3,0,n/a,n/a,n/a,n/a,3.09,21/03/2019,3/21/2019
Sofala,Cidade da Beira,EPC Antiga Emissora,75,375,61,3,0,n/a,n/a,n/a,n/a,3.37,20/03/2019,3/21/2019
Sofala,Cidade da Beira,EPC Massange,71,355,58,4,0,n/a,n/a,n/a,n/a,3.67,21/03/2019,3/21/2019
Sofala,Cidade da Beira,Escola Especial n.3,84,320,52,3,0,n/a,n/a,n/a,n/a,3.46,21/03/2019,3/21/2019
Sofala,Cidade da Beira,Esturo,25,122,20,0,0,n/a,n/a,n/a,n/a,0.35,21/03/2019,3/21/2019
Sofala,Buzi,Gruja,n/a,n/a,860,n/a,1,2,n/a,n/a,n/a,2.33,21/03/2019,3/21/2019
Sofala,Buzi,Guara Guara,n/a,n/a,2031,n/a,1,4,n/a,n/a,n/a,4.79,20/03/2019,3/21/2019
Sofala,Dondo,Mafambisse - Escola Secundaria,57,285,n/a,1,n/a,n/a,n/a,n/a,n/a,0.57,21/03/2019,3/21/2019
Sofala,Cidade da Beira,Bairro de Esturo,30,150,25,0,0,n/a,n/a,n/a,n/a,0.35,22/02/2019,3/22/2019
Sofala,Cidade da Beira,Azemo Nhanconjo,3,26,n/a,0,0,n/a,n/a,n/a,n/a,0.3,22/03/2019,3/22/2019
Sofala,Cidade da Beira,E.P.C Macurungo,80,400,65,4,0,n/a,n/a,n/a,n/a,4.12,20/03/2019,3/22/2019
Sofala,Cidade da Beira,E.S. Ponta Gea,8,40,n/a,1,n/a,n/a,n/a,n/a,n/a,0.5,22/03/2019,3/22/2019
Sofala,Cidade da Beira,EPC Anexa de Inhamizua,93,465,76,5,0,n/a,n/a,n/a,n/a,4.8,22/03/2019,3/22/2019
Sofala,Cidade da Beira,Esc. Sec. Matadouro,95,475,n/a,5,0,n/a,n/a,n/a,n/a,4.9,22/03/2019,3/22/2019
Sofala,Cidade da Beira,Escola 7 de Abril,208,1040,n/a,10,n/a,n/a,n/a,n/a,n/a,10.4,22/03/2019,3/22/2019
Sofala,Cidade da Beira,Heroes Mocambicanos,65,325,53,325,0,n/a,n/a,n/a,n/a,325.02,20/03/2019,3/22/2019
Sofala,Dondo,Mafambisse - Centro de Saude,10,500,n/a,0,n/a,n/a,n/a,n/a,n/a,0.1,22/03/2019,3/22/2019
Sofala,Cidade da Beira,Manga Loforte,18,90,14,1,0,n/a,n/a,n/a,n/a,0.93,22/03/2019,3/22/2019
Sofala,Dondo,Milha 8,50,250,n/a,1,n/a,n/a,n/a,n/a,n/a,0.5,22/03/2019,3/22/2019
Sofala,Nhamatanda,Nhamatanda Sede,n/a,n/a,1307,n/a,0,3,n/a,n/a,n/a,2.7,22/03/2019,3/22/2019
Sofala,Cidade da Beira,S.G. 25 de Setembro,63,315,52,3,0,n/a,n/a,n/a,n/a,3.26,22/03/2019,3/22/2019
Sofala,Dondo,1 de Junho,88,440,n/a,1,n/a,n/a,n/a,n/a,n/a,0.88,20/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S. Chingussura,5,25,n/a,0,n/a,n/a,n/a,n/a,n/a,0.05,23/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S. Dondo,30,150,n/a,0,n/a,n/a,n/a,n/a,n/a,0.3,23/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S. Mafambisse,10,50,n/a,0,n/a,n/a,n/a,n/a,n/a,0.1,23/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S. Munhava,5,25,n/a,0,n/a,n/a,n/a,n/a,n/a,0.05,23/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S. Ponta Gea,5,25,n/a,0,n/a,n/a,n/a,n/a,n/a,0.05,23/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S.Macurungo,5,25,n/a,0,n/a,n/a,n/a,n/a,n/a,0.05,23/03/2019,3/23/2019
Sofala,Cidade da Beira,C.S.Nhaconjo,5,25,n/a,0,n/a,n/a,n/a,n/a,n/a,0.05,23/03/2019,3/23/2019
Sofala,Dondo,Chipinde,302,1510,n/a,3,n/a,n/a,n/a,n/a,n/a,3.02,20/03/2019,3/23/2019
Sofala,Cidade da Beira,Es. Samora Machel,5,49,8,1,0,n/a,n/a,n/a,n/a,0.65,18/03/2019,3/23/2019
Sofala,Cidade da Beira,Esc. Industrial 25 de Junho,58,356,58,4,0,n/a,n/a,n/a,n/a,3.75,19/03/2019,3/23/2019
Sofala,Cidade da Beira,Hospital 24 de Julho,10,50,8,0,0,n/a,n/a,n/a,n/a,0.15,21/03/2019,3/23/2019
Sofala,Dondo,Igreja Envagelica,100,500,n/a,1,n/a,n/a,n/a,n/a,n/a,1,20/03/2019,3/23/2019
Sofala,Dondo,Magaia,49,245,n/a,0,n/a,n/a,n/a,n/a,n/a,0.49,20/03/2019,3/23/2019
Sofala,Dondo,Mutua Sede,102,510,n/a,1,n/a,n/a,n/a,n/a,n/a,1.02,20/03/2019,3/23/2019
Sofala,Maringue,Nhamapaza,n/a,n/a,390,n/a,n/a,1,n/a,n/a,n/a,0.82,23/03/2019,3/23/2019
Sofala,Muanza,Sede,n/a,n/a,214,n/a,n/a,0,n/a,n/a,n/a,0.45,23/03/2019,3/23/2019
Sofala,Gorongosa,Sede,n/a,n/a,86,n/a,n/a,0,n/a,n/a,n/a,0.18,23/03/2019,3/23/2019
Sofala,Cidade da Beira,EPC Eduardo Mondlane,83,415,n/a,2,n/a,n/a,n/a,n/a,n/a,1.75,25/03/2019,3/25/2019
Sofala,Cidade da Beira,Escola Amilcar Cabral,17,85,n/a,0,n/a,n/a,n/a,n/a,n/a,0.4,25/03/2019,3/25/2019
Sofala,Dondo,Mafambisse  - Mizimbite,710,3550,n/a,14,n/a,n/a,n/a,n/a,n/a,14.2,25/03/2019,3/25/2019
Sofala,Cidade da Beira,Manga Mascarenha,6,30,n/a,0,n/a,n/a,n/a,n/a,n/a,0.15,25/03/2019,3/25/2019
Sofala,Cidade da Beira,Muabvi2,36,180,n/a,1,n/a,n/a,n/a,n/a,n/a,0.8,25/03/2019,3/25/2019
Sofala,Dondo,Mutua - Primeiro de Maio,551,2755,n/a,11,n/a,n/a,n/a,n/a,n/a,11.02,25/03/2019,3/25/2019
Sofala,Dondo,Mutua - Samora Machel,209,1045,n/a,4,n/a,n/a,n/a,n/a,n/a,4.18,25/03/2019,3/25/2019
Sofala,Dondo,Savane - Milha 12,500,2500,n/a,10,n/a,n/a,n/a,n/a,n/a,10,25/03/2019,3/25/2019
Sofala,Dondo,Savane - Milha 14,335,1675,n/a,7,n/a,n/a,n/a,n/a,n/a,6.7,25/03/2019,3/25/2019
Sofala,Cidade da Beira,Centro de Apoio a Crianca vitima de violencia,15,75,n/a,0,n/a,n/a,n/a,n/a,n/a,0.3,26/03/2019,3/26/2019
Sofala,Dondo,Chinamacondo,635,3175,n/a,13,n/a,n/a,n/a,n/a,n/a,12.7,26/03/2019,3/26/2019
Sofala,Cidade da Beira,EPC Munhava Central,207,1035,n/a,13,n/a,n/a,n/a,n/a,n/a,12.7,26/03/2019,3/26/2019
Sofala,Nhamatanda,Tica,5496,27482,n/a,55,n/a,n/a,n/a,n/a,n/a,54.96,27/03/2019,3/27/2019
Sofala,Nhamatanda,Bebedo,832,4160,n/a,n/a,12,n/a,n/a,n/a,n/a,12.48,28/03/2019,3/28/2019
Sofala,Nhamatanda,Bebedo,400,2000,n/a,n/a,6,n/a,n/a,n/a,n/a,6,28/03/2019,3/28/2019
Sofala,Dondo,Mutua,2159,10795,n/a,43,n/a,n/a,n/a,n/a,n/a,43.18,28/03/2019,3/28/2019
Sofala,Nhamatanda,Tica,1500,7500,n/a,30,n/a,n/a,n/a,n/a,n/a,30,28/03/2019,3/28/2019
Sofala,Nhamatanda,Bebedo,200,1000,n/a,n/a,3,n/a,n/a,n/a,n/a,3,29/03/2019,3/29/2019
Sofala,Dondo,Mafambisse - 4 de Outubro,1300,6500,n/a,26,n/a,n/a,n/a,n/a,n/a,26,29/03/2019,3/29/2019
Sofala,Dondo,Mafambisse - Bloco 9,900,4500,n/a,16,n/a,n/a,n/a,n/a,n/a,16,29/03/2019,3/29/2019
Sofala,Dondo,Mussassa,1850,9250,n/a,37,n/a,n/a,n/a,n/a,n/a,37,29/03/2019,3/29/2019
Sofala,Nhamatanda,Nhampoca,200,1000,n/a,n/a,3,n/a,n/a,n/a,n/a,3,29/03/2019,3/29/2019
Sofala,Dondo,Mafambisse - 4 de Outubro,375,1875,n/a,8,n/a,n/a,n/a,n/a,n/a,7.5,30/03/2019,3/30/2019
Sofala,Dondo,Mafambisse - Munhonha,925,4625,n/a,19,n/a,n/a,n/a,n/a,n/a,18.5,30/03/2019,3/30/2019
Sofala,Nhamatanda,Nhampoca,817,40085,n/a,n/a,n/a,n/a,12,2,0,14.99,30/03/2019,3/30/2019
