,OBJECTID,,LC_PRI,LC_SEC,LC_TER,NOTE_,AUTOR,LC_PRI_PER,LC_SEC_PER,LC_TER_PER,HECTARES,POLY_ID,OBJECTID_1,LC_PRI_1,LC_DESCRIP,RECLASS1,RECLASS2
16,USE16,,2FD,6BA,,,7,4,1,0,8970,4657,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
32,USE32,,2FD,2GL,2WD,Derived from provincial land cover database,1,4,1,1,5043,17795,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
44,USE44,,2FD,2FE,,,8,3,2,0,29637,20536,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
47,USE47,,2FD,2SL,,,8,3,2,0,48068,20550,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
50,USE50,,2FD,1FC,,,4,3,2,0,6982,20753,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
75,USE75,,2FD,2FE,,,8,4,1,0,50935,20817,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
111,USE111,,2FD,2WD,,Derived from provincial land cover database,1,3,2,0,2463,18390,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
128,USE128,,2FD,2GL,2FE,,4,4,1,1,25950,25130,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
132,USE132,,2FD,5BU,,,5,4,1,0,2104,9026,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
160,USE160,,2FD,6BA,2WD,,7,3,2,1,8240,1458,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
172,USE172,,2FD,2WD,2SL,,8,3,2,1,8086,5230,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
187,USE187,,2FD,2WD,,,3,4,1,0,7833,3008,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
193,USE193,,2FD,2WD,2SL,,5,2,2,1,9955,9141,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
196,USE196,,2FD,2WD,,,5,4,1,0,38275,7654,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
206,USE206,,2FD,,,,3,5,0,0,2695,9648,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
236,USE236,,2FD,,,,3,5,0,0,1244,762,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
262,USE262,,2FD,2SL,,,5,4,1,0,7742,12081,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
266,USE266,,2FD,2FE,,,4,3,2,0,15713,4466,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
284,USE284,,2FD,2GL,,,3,4,1,0,18961,14485,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
289,USE289,,2FD,2GL,,,2,3,2,0,10296,3949,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
290,USE290,,2FD,2SL,2GL,,2,4,1,1,80809,11734,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
291,USE291,,2FD,2SL,,,5,4,1,0,17735,12060,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
305,USE305,,2FD,1FC,,,4,4,1,0,115088,14223,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
307,USE307,,2FD,2WD,,,3,4,1,0,4436,14424,6,2FD,(Semi-) deciduous   forest; (Floresta decidua),2,0
