CP (Province code),CD (District code),CUUS (Unique code of health unit),Latitude,Longitude,CT (Territorial Code),CMB (Code coming from Basic Module),US (Health unit name),CC (Health unit classification code),"CNE (Statistical nucleus code, where data are sent)",FID,CLASSIFICATION,ADMIN1NAME,ADMIN1CODE,ADMIN2NAMES,ADMIN2CODE
1,1,US-MOZ-00001,-13.2489,35.1684,1010114,1010114,Sambula,12,NU-105,46,Centro de Saúde Rural II ,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00002,-13.2901,35.248,1010115,1010115,Namacula,9,NU-105,190,Centro de Saúde Urbano B,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00003,-13.294235,35.236825,1010113,1010113,Mitava,12,NU-105,223,Centro de Saúde Rural II,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00004,-13.2817,35.3028,1010112,1010112,Chiulugo,12,NU-105,289,Centro de Saúde Rural II,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00005,-13.3446,35.2504,1010111,1010111,Lulumile,9,NU-105,405,Centro de Saúde Urbano B,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00006,-13.2516,35.2593,1010110,1010110,Assumane,9,NU-105,507,Centro de Saúde Urbano B,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00007,-13.3213,35.2518,1010108,1010108,Chiuaula,9,NU-105,509,Centro de Saúde Urbano B,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00008,-13.3059,35.2468,1010106,1010106,Lichinga,8,NU-105,510,Centro de Saúde Urbano A,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,1,US-MOZ-00009,-13.3108,35.2511,1010100,1010100,Lichinga,3,NU-105,511,Hospital Provincial,Niassa,MZ008,Cidade De Lichinga,MZ008101
1,2,US-MOZ-00010,-14.800088,36.533773,1010222,1010222,Namutimbua,12,NU-114,512,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00011,-14.806759,36.533344,1010221,1010221,Mepica,12,NU-114,513,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00012,-14.802063,36.535573,1010205,1010205,Cadeia Civil,12,NU-114,514,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00013,-14.6511,36.5689,1010225,1010225,Meripo,12,NU-114,515,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
1,2,US-MOZ-00014,-14.735,36.435,1010224,1010224,Macauae,12,NU-114,516,Centro de Saúde Rural II,Niassa,MZ008,Cuamba,MZ008102
