period,distrito,population,Distrito
2007,Alto Molocue,272482,ALTO_MOLOCUE
2018,Alto Molocue,478433,ALTO_MOLOCUE
2007,Ancuabe,107238,ANCUABE
2018,Ancuabe,137170,ANCUABE
2007,Angoche,276471,ANGOCHE
2018,Angoche,381858,ANGOCHE
2007,Angonia,298815,ANGONIA
2018,Angonia,459078,ANGONIA
2007,Balama,124100,BALAMA
2018,Balama,163851,BALAMA
2007,Barue,137352,BARUE
2018,Barue,349118,BARUE
2007,Bilene,151548,BILENE
2018,Bilene,185384,BILENE
2007,Boane,102555,BOANE
2018,Boane,222351,BOANE
2007,Buzi,159459,BUZI
2018,Buzi,220620,BUZI
2007,Cahora Bassa,86641,CAHORA_BASSA
2018,Cahora Bassa,167244,CAHORA_BASSA
2007,Caia,115612,CAIA
2018,Caia,180532,CAIA
2007,Changara,125296,CHANGARA
2018,Changara,194877,CHANGARA
2007,Chemba,63981,CHEMBA
2018,Chemba,93263,CHEMBA
2007,Cheringoma,34093,CHERINGOMA
2018,Cheringoma,105030,CHERINGOMA
2007,Chibabava,102006,CHIBABAVA
2018,Chibabava,164705,CHIBABAVA
2007,Chibuto,191682,CHIBUTO
2018,Chibuto,236224,CHIBUTO
2007,Chicualacuala,38917,CHICUALACUALA
2018,Chicualacuala,49470,CHICUALACUALA
2007,Chifunde,100243,CHIFUNDE
2018,Chifunde,256823,CHIFUNDE
2007,Chigubo,20725,CHIGUBO
2018,Chigubo,38600,CHIGUBO
2007,Chinde,119898,CHINDE
2018,Chinde,147582,CHINDE
2007,Chiure,217487,CHIURE
2018,Chiure,278262,CHIURE
2007,Chiuta,75410,CHIUTA
2018,Chiuta,121880,CHIUTA
2007,Chokwe,183531,CHOKWE
2018,Chokwe,220790,CHOKWE
2007,Cidade da Beira,431583,CIDADE_DA_BEIRA
2018,Cidade da Beira,499576,CIDADE_DA_BEIRA
2007,Matola,671556,CIDADE_DA_MATOLA
2018,Matola,1211553,CIDADE_DA_MATOLA
2007,Cidade de Chimoio,237497,CIDADE_DE_CHIMOIO
2018,Cidade de Chimoio,398456,CIDADE_DE_CHIMOIO
2007,Cidade de Inhambane,65149,CIDADE_DE_INHAMBANE
2018,Cidade de Inhambane,92127,CIDADE_DE_INHAMBANE
2007,Cidade de Lichinga,142331,CIDADE_DE_LICHINGA
2018,Cidade de Lichinga,311308,CIDADE_DE_LICHINGA
2007,Cidade de Maputo,1094628,CIDADE_DE_MAPUTO
2018,Cidade de Maputo,1383486,CIDADE_DE_MAPUTO
2007,Cidade de Nampula,471717,CIDADE_DE_NAMPULA
2018,Cidade de Nampula,807468,CIDADE_DE_NAMPULA
2007,Cidade de Pemba,138716,CIDADE_DE_PEMBA
2018,Cidade de Pemba,267119,CIDADE_DE_PEMBA
2007,Cidade de Quelimane,193343,CIDADE_DE_QUELIMANE
2018,Cidade de Quelimane,293200,CIDADE_DE_QUELIMANE
2007,Cidade de Tete,155870,CIDADE_DE_TETE
2018,Cidade de Tete,275678,CIDADE_DE_TETE
2007,Cidade de Xai-Xai,115752,CIDADE_DE_XAI-XAI
2018,Cidade de Xai-Xai,139797,CIDADE_DE_XAI-XAI
2007,Cuamba,184773,CUAMBA
2018,Cuamba,312155,CUAMBA
2007,Dondo,123884,DONDO
2018,Dondo,180624,DONDO
2007,Erati,256715,ERATI
2018,Erati,364166,ERATI
2007,Funhalouro,37856,FUNHALOURO
2018,Funhalouro,58576,FUNHALOURO
2007,Gile,169285,GILE
2018,Gile,227419,GILE
2007,Gondola,258548,GONDOLA
2018,Gondola,431214,GONDOLA
2007,Gorongosa,117129,GORONGOSA
2018,Gorongosa,207730,GORONGOSA
2007,Govuro,34494,GOVURO
2018,Govuro,49468,GOVURO
2007,Guija,75306,GUIJA
2018,Guija,110461,GUIJA
2007,Guro,68347,GURO
2018,Guro,122218,GURO
2007,Gurue,297935,GURUE
2018,Gurue,523557,GURUE
2007,HomoÃ­ne,107735,HOMOINE
2018,HomoÃ­ne,149601,HOMOINE
2007,Ibo,9344,IBO
2018,Ibo,14031,IBO
2007,Ile,289891,ILE
2018,Ile,373366,ILE
2007,Cidade de Ilha de Moc,48063,ILHA_DE_MOÇAMBIQUE
2018,Cidade de Ilha de Moc,62481,ILHA_DE_MOÇAMBIQUE
2007,Ilha Licom,0,ILHA_LICOM
2018,Ilha Licom,0,ILHA_LICOM
2007,Ilha Risunodo,0,ILHA_RISUNODO
2018,Ilha Risunodo,0,ILHA_RISUNODO
2007,Inharrime,97950,INHARRIME
2018,Inharrime,157947,INHARRIME
2007,Inhassoro,48190,INHASSORO
2018,Inhassoro,71970,INHASSORO
2007,Inhassunge,91196,INHASSUNGE
2018,Inhassunge,109666,INHASSUNGE
2007,Jangamo,93402,JANGAMO
2018,Jangamo,128598,JANGAMO
2007,Lago,110280,LAGO
2018,Lago,179444,LAGO
2007,Lago Niassa,0,LAGO_NIASSA
2018,Lago Niassa,0,LAGO_NIASSA
2007,Lalaua,73536,LALAUA
2018,Lalaua,103143,LALAUA
2007,Cidade de Lichinga,94972,LICHINGA
2018,Cidade de Lichinga,158375,LICHINGA
2007,Luenha,31249,LUENHA
2018,Luenha,48603,LUENHA
2007,Lugela,135485,LUGELA
2018,Lugela,171968,LUGELA
2007,Mabalane,32067,MABALANE
2018,Mabalane,44365,MABALANE
2007,Mabote,44733,MABOTE
2018,Mabote,60084,MABOTE
2007,Macanga,110873,MACANGA
2018,Macanga,357762,MACANGA
2007,Machanga,42102,MACHANGA
2018,Machanga,59391,MACHANGA
2007,Machaze,102839,MACHAZE
2018,Machaze,168729,MACHAZE
