dist_code,Distrito,pop_tot,male_pop,female_pop
402,Alto Molocue,271228,131116,140112
202,Ancuabe,107238,51751,55487
302,Angoche,258786,127379,131407
502,Angonia,298815,143889,154926
203,Balama,124100,59665,64435
602,Barue,137352,65954,71398
902,Bilene,138373,61622,76751
1002,Boane,61251,29262,31989
702,Buzi,166638,79010,87628
503,Cahora Bassa,86641,43029,43612
703,Caia,118161,56372,61789
504,Changara,156383,75092,81291
704,Chemba,63650,29738,33912
705,Cheringoma,34506,16976,17530
706,Chibabava,102118,45381,56737
903,Chibuto,176005,77799,98206
904,Chicualacuala,43328,20090,23238
505,Chifunde,100243,49468,50775
905,Chigubo,14577,6399,8178
403,Chinde,122400,58314,64086
204,Chiure,213700,102301,111399
506,Chiuta,75410,35811,39599
906,Chokwe,197483,86630,110853
701,Cidade da Beira,431583,219624,211959
601,Cidade de Chimoio,236659,119744,116915
304,Cidade de Ilha de Moc,48063,23467,24596
801,Cidade de Inhambane,65149,30640,34509
101,Cidade de Lichinga,91676,46847,44829
810,Cidade de Maxixe,108824,48904,59920
301,Cidade de Nampula,317810,161867,155943
201,Cidade de Pemba,108147,54569,53578
401,Cidade de Quelimane,193343,99172,94171
501,Cidade de Tete,150061,74990,75071
901,Cidade de Xai-Xai,99636,46065,53571
102,Cuamba,187010,93296,93714
707,Dondo,145998,73893,72105
802,Funhalouro,37856,16788,21068
404,Gile,168565,82810,85755
603,Gondola,256182,126447,129735
708,Gorongosa,82834,39591,43243
803,Govuro,34494,15569,18925
907,Guija,16748,7589,9159
604,Guro,67652,31759,35893
405,Gurue,281274,139313,141961
804,Homoíne,108551,47828,60723
205,Ibo,9056,4347,4709
406,Ile,288658,135919,152739
805,Inharrime,97950,43532,54418
806,Inhassoro,45597,20620,24977
407,Inhassunge,91196,43351,47845
807,Jangamo,80232,36070,44162
1104,Kamavota,293270,141654,151616
1103,Kamaxakeni,200960,99160,101800
1105,Kamubukwana,290775,140315,150460
1107,Kanyaka,5216,2467,2749
1101,Kapfumo,125110,61448,63662
1106,Katembe,20135,9685,10450
103,Lago,83099,40431,42668
305,Lalaua,73414,36232,37182
104,Lichinga,94972,46067,48905
408,Lugela,135485,63197,72288
908,Mabalane,32067,14713,17354
808,Mabote,42621,18329,24292
507,Macanga,110873,54549,56324
709,Machanga,52049,23941,28108
605,Machaze,102839,44147,58692
206,Macomia,75811,36407,39404
606,Macossa,27187,12834,14353
409,Maganja da Costa,275985,129284,146701
508,Magoe,68852,34165,34687
1003,Magude,50789,23050,27739
105,Majune,15478,7474,8004
306,Malema,163710,80162,83548
106,Mandimba,94251,46514,47737
909,Mandlakaze,150296,66822,83474
1004,Manhica,139341,63527,75814
607,Manica,214127,106531,107596
509,Maravia,70617,34256,36361
710,Maringue,47023,21589,25434
1005,Marracuene,74791,35669,39122
711,Marromeu,115080,57399,57681
107,Marrupa,57059,27819,29240
910,Massangena,14931,6468,8463
809,Massinga,184954,80979,103975
911,Massingir,28701,13693,15008
1001,Matola,671556,323819,347737
1006,Matutuine,34269,16569,17700
108,Maua,43092,20828,22264
109,Mavago,20241,9847,10394
110,Mecanhelas,154643,75682,78961
307,Meconta,142205,70511,71694
308,Mecuburi,134482,65884,68598
207,Mecufi,40073,18998,21075
111,Mecula,17192,8462,8730
208,Meluco,25546,12361,13185
309,Memba,196419,95349,101070
112,Metarica,27028,13229,13799
410,Milange,497703,241585,256118
1007,Moamba,51493,24825,26668
510,Moatize,184567,89910,94657
209,Mocimboa da Praia,89208,43560,45648
411,Mocuba,268242,130895,137347
310,Mogincual,155487,76223,79264
311,Mogovolas,289938,142423,147515
312,Moma,305871,153121,152750
313,Monapo,260620,128201,132419
210,Montepuez,178309,86495,91814
412,Mopeia,113439,55053,58386
413,Morrumbala,358913,175169,183744
811,Morrumbene,123831,54671,69160
314,Mossuril,118640,57716,60924
608,Mossurize,185659,82854,102805
712,Muanza,25225,12340,12885
315,Muecate,93502,46291,47211
211,Mueda,109411,52125,57286
113,Muembe,20375,9783,10592
212,Muidumbe,70734,33927,36807
316,Murrupula,97589,48282,49307
511,Mutarara,207010,99453,107557
114,N`Gauma,63910,30967,32943
317,Nacala Porto,392594,194735,197859
318,Nacala Velha,88807,43048,45759
319,Nacaroa,106887,51843,55044
1008,Namaacha,41845,20781,21064
414,Namacurra,191889,89180,102709
303,Namapa-Erati,255554,122843,132711
415,Namarroi,125999,58104,67895
320,Nampula,203821,100786,103035
213,Namuno,161707,77702,84005
214,Nangade,62734,30089,32645
713,Nhamatanda,221878,107642,114236
416,Nicoadala,230263,112125,118138
115,Nipepe,30009,14407,15602
1102,Nlhamankulu,117113,57443,59670
215,Palma,32645,16431,16214
812,Panda,47799,20782,27017
417,Pebane,200136,98212,101924
216,Pemba - Metuge,62027,30483,31544
217,Quissanga,37771,18228,19543
321,Ribaue,192131,94337,97794
116,Sanga,54995,26818,28177
609,Sussundenga,128866,60963,67903
610,Tambara,41775,19512,22263
512,Tsangano,112508,54309,58199
813,Vilankulo,135971,61332,74639
912,Xai - Xai,208971,92702,116269
814,Zavala,122495,53622,68873
513,Zumbo,42479,20867,21612
