period,posto,population,Posto
2007,7 De Abril,29329,7 DE ABRIL
2018,7 De Abril,43351,7 DE ABRIL
2007,Alto Changane,19317,ALTO CHANGANE
2018,Alto Changane,23806,ALTO CHANGANE
2007,Alto Ligonha,64466,ALTO LIGONHA
2018,Alto Ligonha,86604,ALTO LIGONHA
2007,Alto Molocue,184132,ALTO_MOLOCUE
2018,Alto Molocue,323305,ALTO_MOLOCUE
2007,Alua,88218,ALUA
2018,Alua,125143,ALUA
2007,Amatongas,40599,AMATONGAS
2018,Amatongas,67712,AMATONGAS
2007,Anchilo,75543,ANCHILO
2018,Anchilo,140090,ANCHILO
2007,Ancuabe,40989,ANCUABE
2018,Ancuabe,52430,ANCUABE
2007,Cidade de Angoche,89998,ANGOCHE
2018,Cidade de Angoche,124304,ANGOCHE
2007,Aube,43765,AUBE
2018,Aube,60448,AUBE
2007,Bajone,70302,BAJONE
2018,Bajone,88747,BAJONE
2007,Balama,67970,BALAMA
2018,Balama,89742,BALAMA
2007,Bazaruto,2593,BAZARUTO
2018,Bazaruto,3873,BAZARUTO
2007,Buzua,9734,BAZUA
2018,Buzua,15811,BAZUA
2007,Bela Vista,15015,BELA VISTA
2018,Bela Vista,18097,BELA VISTA
2007,Bilibiza,13388,BILIBIZA
2018,Bilibiza,15518,BILIBIZA
2007,Boane,67745,BOANE
2018,Boane,146879,BOANE
2007,Boila Nametoria,105586,BOILA
2018,Boila Nametoria,145834,BOILA
2007,Buzi,96078,BUZI
2018,Buzi,132929,BUZI
2007,Cafumpe,36915,CAFUMPE
2018,Cafumpe,61568,CAFUMPE
2007,Caia-Sede,54926,CAIA
2018,Caia-Sede,85769,CAIA
2007,Calanga,9524,CALANGA
2018,Calanga,23645,CALANGA
2007,Calipo,43440,CALIPO
2018,Calipo,95348,CALIPO
2007,Campo,40567,CAMPO
2018,Campo,71579,CAMPO
2007,Cani��Ado,5689,CANIÇADO
2018,Cani��Ado,8345,CANIÇADO
2007,Canxixe,20656,CANXIXE
2018,Canxixe,30675,CANXIXE
2007,Catandica,92362,CATANDICA
2018,Catandica,234763,CATANDICA
2007,Catuane,7158,CATUANE
2018,Catuane,8627,CATUANE
2007,Chai,16261,CHAI
2018,Chai,20686,CHAI
2007,Chaimite,31846,CHAIMITE
2018,Chaimite,39246,CHAIMITE
2007,Chalaua,77254,CHALAUA
2018,Chalaua,106790,CHALAUA
2007,Changalane,13538,CHANGALANE
2018,Changalane,19610,CHANGALANE
2007,Changanine,3807,CHANGANINE
2018,Changanine,4692,CHANGANINE
2007,Chapa,10459,CHAPA
2018,Chapa,13136,CHAPA
2007,Chare,35272,CHARRE
2018,Chare,60264,CHARRE
2007,Chemba,21051,CHEMBA
2018,Chemba,30685,CHEMBA
2007,Chibabava,11806,CHIBABAVA
2018,Chibabava,19063,CHIBABAVA
2007,Chibonzane,26457,CHIBONZANE
2018,Chibonzane,31200,CHIBONZANE
2007,Chibuto,63184,CHIBUTO
2018,Chibuto,77866,CHIBUTO
2007,Chicomo,36457,CHICOMO
2018,Chicomo,43573,CHICOMO
2007,Chiconono,8270,CHICONONO
2018,Chiconono,13989,CHICONONO
2007,Chicumbane,80181,CHICUMBANE
2018,Chicumbane,96837,CHICUMBANE
2007,Chidenguele,55028,CHIDENGUELE
2018,Chidenguele,64893,CHIDENGUELE
2007,Chidzolomondo,34532,CHIDZOLOMONDO
2018,Chidzolomondo,111427,CHIDZOLOMONDO
2007,Chifunde,11682,CHIFUNDE
2018,Chifunde,29929,CHIFUNDE
2007,Chigubo Sede,9214,CHIGUBO
2018,Chigubo Sede,17161,CHIGUBO
2007,Chihulo,14433,CHIHULO
2018,Chihulo,19997,CHIHULO
2007,Chimbonila,60866,CHIMBONILA
2018,Chimbonila,101500,CHIMBONILA
2007,Chinde Sede,40850,CHINDE
2018,Chinde Sede,50282,CHINDE
2007,Chinga,13584,CHINGA
2018,Chinga,20426,CHINGA
2007,Chitholo,3480,CHINTHOLO
2018,Chitholo,6717,CHINTHOLO
2007,Chinhopo,24860,CHINTHOPO
2018,Chinhopo,49293,CHINTHOPO
2007,Chipembere,61277,CHIPEMBERE
2018,Chipembere,95306,CHIPEMBERE
2007,Chipene,27089,CHIPENE
2018,Chipene,35325,CHIPENE
2007,Chipera,10554,CHIPERA
2018,Chipera,17634,CHIPERA
2007,Chiputo,9779,CHIPUTU
2018,Chiputo,16339,CHIPUTU
2007,Chiramba,17820,CHIRAMBA
2018,Chiramba,25976,CHIRAMBA
2007,Chire,91543,CHIRE
2018,Chire,143758,CHIRE
2007,Chissano,52376,CHISSANO
2018,Chissano,64070,CHISSANO
2007,Chitima,46638,CHITIMA
2018,Chitima,90026,CHITIMA
2007,Chitobe,74645,CHITOBE
2018,Chitobe,122471,CHITOBE
2007,Chitunda,22266,CHITUNDA
2018,Chitunda,26258,CHITUNDA
2007,Chiurairue,77975,CHIURAIRUE
2018,Chiurairue,152791,CHIURAIRUE
2007,Chiure Sede,75724,CHIURE
2018,Chiure Sede,96885,CHIURE
2007,Chiure Velho,33346,CHIURE VELHO
2018,Chiure Velho,42664,CHIURE VELHO
2007,Chiuta,21654,CHIUTA
2018,Chiuta,58480,CHIUTA
2007,Chivongoene,28492,CHIVONGOENE
2018,Chivongoene,41793,CHIVONGOENE
2007,Choa,11984,CHOA
2018,Choa,30461,CHOA
2007,Cidade de Chokwe,53062,CHOKWE
2018,Cidade de Chokwe,63834,CHOKWE
2007,Chongoene,101975,CHONGOENE
2018,Chongoene,123158,CHONGOENE
2007,Chupanga,37823,CHUPANGA
2018,Chupanga,76226,CHUPANGA
2007,Cidade da Beira,431583,CIDADE_DA_BEIRA
2018,Cidade Da Beira,499576,CIDADE_DA_BEIRA
2007,Matola,671556,CIDADE_DA_MATOLA
2018,Matola,1211553,CIDADE_DA_MATOLA
2007,Cidade De Chimoio,237497,CIDADE_DE_CHIMOIO
2018,Cidade De Chimoio,398456,CIDADE_DE_CHIMOIO
2007,Cidade De Inhambane,65149,CIDADE_DE_INHAMBANE
2018,Cidade De Inhambane,92127,CIDADE_DE_INHAMBANE
2007,Cidade De Lichinga,142331,CIDADE_DE_LICHINGA
