Posto,pop_tot,male_pop,female_pop
3 de Fevereiro,34654,15260,19394
7 de Abril,29821,14636,15185
Alto Changane,16154,7093,9061
Alto Ligonha,63740,31565,32175
Alto Molocue,182878,88420,94458
Alua,88218,42516,45702
Amatongas,40599,20087,20512
Anchilo,74658,36682,37976
Ancuabe,40989,19611,21378
Aube,42434,20729,21705
Bajone,70302,33466,36836
Balama,67970,32552,35418
Bela Vista,13939,6523,7416
Bilene Macia,27795,12612,15183
Bilibiza,13388,6431,6957
Boane,41167,19700,21467
Boila Nametoria,106917,52902,54015
Buzi,99982,48210,51772
Buzua,9734,4419,5315
Cafumpe,36915,18272,18643
Caia-Sede,57475,27809,29666
Calanga,7050,3211,3839
Calipo,42640,20821,21819
Campo,40567,19447,21120
Canxixe,7591,3510,4081
Catandica,90662,43499,47163
Catembe M'sime,6772,3320,3452
Catuane,5115,2580,2535
Chai,16261,7694,8567
Chaimite,31846,14332,17514
Chalala,11940,5247,6693
Chalaua,77254,39214,38040
Changalane,12426,6135,6291
Changanine,3807,1724,2083
Chapa,10459,4997,5462
Chare,35272,17079,18193
Chemba,21051,10026,11025
Chibabava,11806,5199,6607
Chibonzane,26457,11738,14719
Chicomo,35119,15203,19916
Chicumbane,79566,35153,44413
Chidenguele,55028,25100,29928
Chidzolomondo,34532,16897,17635
Chifunde,11682,5594,6088
Chigubo Sede,8135,3537,4598
Chihulo,14433,7059,7374
Chiloane,9947,4714,5233
Chimbonila,60866,29202,31664
Chinde Sede,41083,19568,21515
Chinga,13584,6673,6911
Chinhopo,24860,12240,12620
Chioco,61115,29366,31749
Chipene,27089,13015,14074
Chipera,10554,4963,5591
Chiputo,9779,4669,5110
Chiramba,17489,8162,9327
Chire,91543,45124,46419
Chissano,54227,23855,30372
Chitholo,3480,1749,1731
Chitima,46638,23262,23376
Chitunda,22266,10871,11395
Chiurairue,79047,35901,43146
Chiure Sede,71937,34393,37544
Chiure Velho,33346,15759,17587
Chiuta,21654,10717,10937
Choa,11984,5824,6160
Chongoene,102127,45215,56912
Chupanga,35875,17587,18288
Cidade de Angoche,72313,35450,36863
Cidade de Chokwe,53062,23560,29502
Cidade de Cuamba,79013,39992,39021
Cidade de Dondo,75812,38095,37717
Cidade de Gurue,148385,74825,73560
Cidade de Manica,37517,18744,18773
Cidade de Mocuba,136350,67195,69155
Cidade de Montepuez,66502,32779,33723
Cobue,17289,8484,8805
Combomune,9641,4319,5322
Corrane,39264,19526,19738
Covo,22141,10799,11342
Cumbana,53317,23844,29473
Cunle,20412,9971,10441
Dacata,92376,40409,51967
Derre,72662,35575,37087
Diaca,17022,8263,8759
Divinhe,14585,6833,7752
Doa,67618,32528,35090
Dombe,49404,22315,27089
Domue,156939,75222,81717
Eduardo Mondlane,21426,10241,11185
Espungabera,14236,6544,7692
Estaquinha,36099,16186,19913
Etatara,34121,16731,17390
Fingoe,9186,4508,4678
Funhalouro,26121,11597,14524
Furancungo,76341,37652,38689
Galinha,20968,10291,10677
Gile,104825,51245,53580
Godide,17720,7675,10045
Gondola,33877,16765,17112
Gonhane,23702,11041,12661
Goonda,25674,11749,13925
Gorongosa,33255,15889,17366
Gorongosa-Sede,7569,3714,3855
Guro Sede,21972,10720,11252
Guro Sede (Sanga),5680,2692,2988
