form,unique_id,start,Assessor organisation:,Province,District,Posto,Location name,latitude,longitude,Site characteristics:,Number of inhabitants before the cyclone/flood:,Number of inhabitants after the cyclone/flood (not including the displaced people):,Number of displaced people (IDPs):,How many mildly injured men have there been in your location as a result of the cyclone/flood?,How many severely injured men have there been in your location as a result of the cyclone/flood?,How many fatalities (men) have there been in your location as a result of the cyclone/flood?,How many mildly injured women have there been in your location as a result of the cyclone/flood?,How many severely injured women have there been in your location as a result of the cyclone/flood?,How many fatalities (women) have there been in your location as a result of the cyclone/flood?,How many mildly injured children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many severely injured Children (under 5 years) have there been in your location as a result of the cyclone/flood?,How many fatalities children (under 5 years) have there been in your location as a result of the cyclone/flood?,Number of unusable classrooms,Has cholera been confirmed?,Have been any cases of Measles?,Have been any cases of Acute Watery Diarrhoea (liquid stool)?,Have been any cases of Malnutrition?,Have been any cases of Malaria?,Have been any cases of Acute Respiratory Diseases?,Any reports of Sexually Transmitted Diseases?,Is there a health centre in the area?,How many health centres are operational?,How many health centres are non-operational?,Is there a Hospital  in the area?,How many Hospitals are operational?,How many Hospitals are non-operational?
Rapid Needs Assessment,site1,2019-04-01T08:27:38.474-04:00,IFRC,Sofala,Buzi,Buzi,Bairro macurungo,-19.88459833,34.594565,Village,5085,5083,0,350,0,1,99,99,1,99,99,0,,,No,No,No,Yes,No,,No,,,No,,
Rapid Needs Assessment,site2,2019-04-01T06:51:47.036-04,Cvm,Sofala,Buzi,Buzi,Posto Adm de Guaraguara,-19.86357,34.45863833,City neighbourhood,99,99,99,99,99,99,99,99,99,99,99,99,198,,Don't Know,Yes,Yes,Yes,,,Yes,2,0,No,,
Rapid Needs Assessment,site3,2019-04-01T08:25:38.976-04,Cvm,Sofala,Buzi,Buzi,Vila cede buzi,-19.88454333,34.59456333,City neighbourhood,1425,1425,99,11,99,0,0,0,0,0,0,0,,,No,Yes,No,Yes,Yes,,Yes,1,0,Yes,0,0
Rapid Needs Assessment,site4,2019-04-01T05:35:00.627-04,Cvm,Sofala,Buzi,Buzi,Guaraguara,-19.86394333,34.45853667,Village,17630,17640,2500,5,0,10,99,99,99,99,99,99,,,No,Yes,Yes,Yes,Yes,,Yes,1,0,No,,
Rapid Needs Assessment,site5,2019-04-02T04:02:08.290-04,Cvm,Sofala,Buzi,Estaquinha,Estaquinha,-19.977805,34.14063167,Other,43207,44289,251,5,1,6,3,2,10,0,0,3,,,No,Yes,Yes,Yes,Yes,,Yes,3,0,No,,
Rapid Needs Assessment,site6,2019-04-02T06:55:30.631-04,Cvm,Sofala,Buzi,Sofala,Barada,-20.04804167,34.74379,City neighbourhood,2000,99,36,11,3,0,5,2,0,0,1,0,9,No,Don't Know,Yes,Yes,Yes,Don't Know,Yes,Yes,1,0,No,,
Rapid Needs Assessment,site7,2019-04-02T04:05:18.940-04,Cvm,Sofala,Buzi,Estaquinha,Estaquinha C,-19.97782167,34.14079667,City neighbourhood,99,99,99,0,0,0,1,0,0,0,0,0,,,No,Yes,No,Yes,No,,No,,,No,,
Rapid Needs Assessment,site8,2019-04-03T03:55:15.628-04,Lider,Sofala,Buzi,Sofala,Chicoio,-19.96615333,34.48813333,Village,3500,3499,20,20,0,0,30,1,1,99,99,0,,,No,Yes,Don't Know,Yes,Yes,,No,,,No,,
Rapid Needs Assessment,site9,2019-04-03T05:18:02.996-04,Cvm,Sofala,Buzi,Buzi,"Localidade de Bandua, Munamicua",-19.94487667,34.54245167,Village,2737,2729,0,30,6,0,4,7,2,12,3,1,,,No,Yes,Yes,Yes,Yes,,No,,,No,,
Rapid Needs Assessment,site10,2019-04-03T05:16:58.078-04,Cvm,Sofala,Buzi,Sofala,Munamicua,-19.94492333,34.54248167,Village,2737,2729,0,10,1,1,99,99,3,1,0,1,,,No,Yes,Yes,Yes,Yes,,No,,,No,,
Rapid Needs Assessment,site11,2019-04-03T05:18:02.996-04,Cvm,Sofala,Buzi,Buzi,"Localidade de Bandua, Munamicua",-19.94487667,34.54245167,Village,2737,2729,0,30,6,0,4,7,2,12,3,1,,,No,Yes,Yes,Yes,Yes,,No,,,No,,
Rapid Needs Assessment,site12,2019-04-03T05:18:02.996-04,Cvm,Sofala,Buzi,Buzi,"Localidade de Bandua, Munamicua",-19.94487667,34.54245167,Village,2737,2729,0,30,6,0,4,7,2,12,3,1,,,No,Yes,Yes,Yes,Yes,,No,,,No,,
Multisectoral Assessment,site13,2019-03-29T01:51:38.944-04,INGO,Sofala,Cidade Da Beira,Cidade Da Beira,Matadouro,-19.72745,34.83557667,Village,27513,24865,,1,0,11,1,0,3,8,0,3,32,No,Yes,Yes,Yes,Yes,No information,Yes,Yes,1,0,No,,
Multisectoral Assessment,site14,2019-03-29T04:34:15.721-04,INGO,Sofala,Cidade Da Beira,Cidade Da Beira,Matadouro,-19.72744667,34.83538833,Town,27500,12300,,0,0,1,0,0,1,0,0,1,0,No,No,Yes,Yes,Yes,No,Yes,Yes,2,0,No,,
Multisectoral Assessment,site15,2019-03-29T02:56:50.617-04,United Nations,Sofala,Cidade Da Beira,Cidade Da Beira,Tchondja,-19.65248833,35.05948333,Town,3017,3017,,4,0,2,1,1,2,0,0,0,5,Yes,No,Yes,No information,Yes,No information,No information,Yes,0,1,No,,
Multisectoral Assessment,site16,2019-03-29T04:55:05.418-04,INGC,Sofala,Cidade Da Beira,Cidade Da Beira,Tchondja,-19.65253833,35.059515,City,3017,3017,,9,999,0,1,0,0,0,0,0,9,No,No,No,No,Yes,No,Yes,No,,,No,,
Multisectoral Assessment,site17,2019-03-29T04:54:41.488-04,United Nations,Sofala,Cidade Da Beira,Cidade Da Beira,Tchondja,-19.65242167,35.05945167,Town,3017,3017,,4,0,2,2,1,2,0,0,0,5,No,No,No,Yes,Yes,No,No information,Yes,1,1,No,,
Multisectoral Assessment,site18,2019-03-29T07:33:23.439-04,United Nations,Sofala,Cidade Da Beira,Cidade Da Beira,Tchondja,-19.71627167,35.00222667,Village,16000,16000,,37,7,4,6,1,4,12,3,1,25,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,3,Yes,3,2
