province,district,posto,localidade_bairro,resettlement_coverage_area,organization,thematic_area,number_activists
Sofala,Dondo,Dondo,Dondo,Mandruzi Resetlement Area ,OXFAM,Protection,6
Sofala,Dondo,Dondo,Dondo,Mandruzi Resetlement Area ,OXFAM,WASH,8
Sofala,Dondo,Dondo,Dondo,Mutua Resetlement Area,OXFAM,Protection,3
Sofala,Dondo,Dondo,Dondo,Mutua Resetlement Area,OXFAM,WASH,13
Sofala,Dondo,Dondo,Dondo,Mutua Resetlement Area,CUAMM,"Health, HIV, Nutrition",45
Sofala,Dondo,Mafambisse,Mafambisse,Marafarrinha Neighborhood,Care ,WASH ,12
Sofala,Dondo,Mafambisse,Mafambisse,Mafambisse,PSI,Health,4
Sofala,Dondo,Mafambisse,Mafambisse,Marafarrinha Neighborhood,PSI,Health,2
Sofala,Dondo,Mafambisse,Mafambisse,Nhamaiabue Neighborhood,PSI,Health,2
Sofala,Dondo,Dondo,Dondo,Samora Machel Neighborhood,PSI,Health,1
Sofala,Dondo,Mafambisse,Mutua,Mutua Neighborhood,CVM/IFRC,"WASH, Health",10
Sofala,Dondo,Dondo,Dondo,"Sengo Praia, Praia Nova And Praia Farol",CVM/IFRC,"WASH, Health, Livelihoods, Shelter",20
Sofala,Dondo,Savane,Savane,Chinimacondo Neighborhood,CVM/IFRC,"WASH, Health, Livelihoods, Shelter",20
Sofala,Dondo,Dondo,Dondo,Mandruzi Resetlement Area ,IOM ,"Protection, AAP",4
Sofala,Dondo,Savane,Savane,Savane Resetlement Area,IOM ,"Protection, AAP",2
Sofala,Dondo,Dondo,Mafambisse,Mutua Resetlement Area,IOM ,"Protection, AAP",4
Sofala,Dondo,Dondo,Dondo,Mandruzi Resetlement Area ,UNFPA,Women's health,37
Sofala,Dondo,Savane,Savane,Savane Resetlement Area,UNFPA,Women's health,1
Sofala,Dondo,Mafambisse,Mafambisse,Mutua Resetlement Area,UNFPA,Women's health,1
Sofala,Dondo,Savane,Savane,Chinimacondo Neighborhood,UNFPA,Women's health,2
Sofala,Dondo,Mafambisse,Mafambisse,Mafambisse,UNFPA,Women's health,1
Sofala,Dondo,Dondo,Dondo,Nhamainga,Help Age ,"Elderly Health, WASH, Protection",2
Sofala,Dondo,Savane,Savane,Chinimacondo Neighborhood,Help Age ,"Elderly Health, WASH, Protection",2
Sofala,Dondo,Dondo,Dondo,Nhamainga,Light for the World,People with Disabilities,1
Sofala,Dondo,Dondo,Dondo,Central ,Light for the World,People with Disabilities,2
Sofala,Dondo,Mafambisse,Mafambisse,Marafarrinha Neighborhood,Light for the World,People with Disabilities,2
Sofala,Dondo,Dondo,Dondo,Mandruzi Neighborhood,Light for the World,People with Disabilities,1
Sofala,Dondo,Dondo,Dondo,Canhandula,Light for the World,People with Disabilities,2
Sofala,Dondo,Dondo,Dondo,Macharote,Light for the World,People with Disabilities,1
Sofala,Dondo,Dondo,Dondo,Nhamaiabue Neighborhood,Light for the World,People with Disabilities,1
Sofala,Dondo,Dondo,Dondo,Consito Neighborhood,Light for the World,People with Disabilities,1
Sofala,Dondo,Dondo,Dondo,Samora Machel Neighborhood,Light for the World,People with Disabilities,1
Sofala,Dondo,Savane,Savane,Savane Resetlement Area,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",2
Sofala,Dondo,Mafambisse,Mutua,Mutua Neighborhood,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",1
Sofala,Dondo,Mafambisse,Mafambisse,Mafambisse,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",2
Sofala,Dondo,Mafambisse,Mafambisse,Marafarrinha Neighborhood,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",4
Sofala,Dondo,Dondo,Dondo,Macharote,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",4
Sofala,Dondo,Dondo,Dondo,Nhamaiabue Neighborhood,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",6
Sofala,Dondo,Dondo,Dondo,Consito Neighborhood,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",4
Sofala,Dondo,Dondo,Dondo,Mandruzi Resetlement Area ,UNHCR,"Protection Focal Points, ",12
Sofala,Dondo,Savane,Savane,Savane Resetlement Area,UNHCR,"Protection Focal Points, ",10
Sofala,Dondo,Mafambisse,Mafambisse,Mutua Resetlement Area,UNHCR,"Protection Focal Points, ",12
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Bairro 7 Abril - Ncura Resetlement Area,CUAMM,"Health, HIV, Nutrition",20
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Bairro 7 Abril - Ncura Resetlement Area,OXFAM,Protection,5
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Bairro 7 Abril - Ncura Resetlement Area,OXFAM, WASH ,6
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,10 Bairro,AVSI ,Protection,4
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Bairro 7 Abril - Ncura Resetlement Area,World Vision ,"WASH, Protection",6
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Iv Bairro,World Vision ,"WASH, Protection",12
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Metuchira Resetlement Area,World Vision ,"WASH, Protection",6
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Lamego ,World Vision ,"WASH, Protection",12
Sofala,NHAMATANDA,Nhamatanda,Siluvo ,Siluvo ,World Vision ,"WASH, Protection",6
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,10 Bairro,World Vision ,"WASH, Protection",6
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Health ,CVM/IFRC,"WASH, Health",5
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Bairro 7 Abril - Ncura Resetlement Area,IOM ,"Protection, AAP",4
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Metuchira Resetlement Area,IOM ,"Protection, AAP",2
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Ndedja Resetlement Area,IOM ,"Protection, AAP",4
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Metuchira Resetlement Area,Help Age ,"Elderly Health, WASH, Protection",2
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Lamego ,Help Age ,"Elderly Health, WASH, Protection",1
Sofala,NHAMATANDA,Tica,Tica,Tica,Help Age ,"Elderly Health, WASH, Protection",1
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Lamego ,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",2
Sofala,NHAMATANDA,Tica,Tica,Mitondo,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",1
Sofala,NHAMATANDA,Nhamatanda,Nhamatanda,Micomeze,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",1
Sofala,NHAMATANDA,Nhamatanda,Siluvo ,Rua Domingos,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",1
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Muda,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",2
Sofala,NHAMATANDA,Nhamatanda,Siluvo ,Mecuzi Puazi ,PIRCOM/UNICEF,"WASH, Health, Nutrition, Child Protection, ",1
Sofala,NHAMATANDA,Nhamatanda,Metuchira ,Metuchira Resetlement Area,UNHCR,"Protection Focal Points, ",10
Sofala,Buzi,Estaquinha,Estaquinha ,Inhanjou Km37 Resetlement Area,OXFAM,WASH ,4
Sofala,Buzi,Buzi,Guara Guara,Guara Guara Resetlement Area,OXFAM,Protection,6
Sofala,Buzi,Buzi,Guara Guara,Guara Guara,OXFAM,WASH ,18
Sofala,Buzi,Estaquinha,Estaquinha ,Estaquinha Resetlement Area,OXFAM,Protection,6
Sofala,Buzi,Estaquinha,Estaquinha ,Estaquinha Resetlement Area,OXFAM, WASH ,3
Sofala,Buzi,Buzi,Buzi,Buzi Sede,OXFAM, WASH ,4
Sofala,Buzi,Buzi,Buzi,Chicumbua,OXFAM,WASH ,2
Sofala,Buzi,Estaquinha,Estaquinha ,Begaja,OXFAM,WASH ,2
Sofala,Buzi,Buzi,Buzi,Bandua Resetlement Area,World Vision ,"WASH, Protection",66
Sofala,Buzi,Buzi,Buzi,Bandua Sede,World Vision ,"WASH, Protection",66
Sofala,Buzi,Estaquinha,Estaquinha ,Estaquinha Resetlement Area,World Vision ,"WASH, Protection",174
Sofala,Buzi,Buzi,Buzi,Chiquezana,World Vision ,"WASH, Protection",17
